Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,N_BeforePacking_AddAge0s,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|6|,294|258|384|379|384|385|416|,49.36818367346938|99.39131007751938|150.30775|200.88938522427438|250.1090390625|300.1377220779221|349.79010817307693|,10.981473597583674|10.2137794649246|10.872713288319526|10.565373783327194|10.242951819169525|10.12263787540212|9.819359685342294|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,289|264|384|374|387|385|417|,48.841145328719726|99.0745|150.42712239583332|200.70242780748663|249.78687596899223|300.0177948051948|349.75583213429263|,10.312423806642496|10.470365523560755|10.695406206644208|10.042221784701356|10.25711744820997|9.967698700756555|9.818672027534635|,0|294|258|763|769|416|0|,0|0|0|0|0|0|0|,0|0|0|0|338|192|0|,0|294|258|763|431|224|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|294|258|384|599|435|0|,0|0|0|0|0|0|0|,5522|330|258|384|599|435|0|,0|0|0|0|81|157|0|,5520|332|258|384|518|278|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
1,0|1|2|3|4|5|6|,5558|294|258|384|324|194|278|,50.11523248661111|113.44465676002007|164.79572781619694|205.23032539160798|237.06912928523727|262.13947730802647|289.82007144364707|,10.160187940596972|0.0|0.0|2.842170943040401e-14|0.0|0.0|7.770275744431784|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,5520|332|258|384|518|278|0|,49.92104192982365|109.42481866085512|164.79572781619694|205.23032539160798|246.45841020496906|289.82007144364707|nan|,9.916543437306434|11.245486263578421|0.0|2.842170943040401e-14|12.133999511775633|7.770275744431784|nan|,0|5558|294|642|518|278|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|5558|294|642|518|278|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|5558|294|258|708|472|0|,0|0|0|0|0|0|0|,3662|5577|294|258|708|472|0|,0|0|0|0|142|239|0|,3654|5585|294|258|566|233|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
2,0|1|2|3|4|5|6|,3681|5558|294|258|301|265|233|,49.80454435985798|113.44465676002008|164.79572781619694|205.23032539160798|237.0691292852373|262.13947730802647|294.978150723847|,10.048489319847441|1.4210854715202004e-14|0.0|2.842170943040401e-14|2.842170943040401e-14|0.0|11.52160613854879|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,3654|5585|294|258|566|233|0|,49.596677408809015|113.27299387807354|164.79572781619694|205.23032539160798|248.80701307682583|294.978150723847|nan|,9.785813413398785|2.4715991086876063|0.0|2.842170943040401e-14|12.509792796099553|11.52160613854879|nan|,0|3681|5558|552|566|233|0|,0|0|0|0|0|0|0|,0|0|2534|0|0|0|0|,0|3681|3024|552|566|233|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|3681|3024|294|559|498|0|,0|0|0|0|0|0|0|,3003|3695|3024|294|559|498|0|,0|0|0|0|0|260|0|,3002|3696|3024|294|559|238|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
3,0|1|2|3|4|5|6|,3017|3681|3024|294|258|301|238|,49.83591256476399|113.44465676002007|164.79572781619692|205.230325391608|237.0691292852372|262.1394773080264|294.3937914390185|,10.117084459321257|0.0|2.842170943040401e-14|0.0|5.684341886080802e-14|5.684341886080802e-14|14.0715865652482|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,3002|3696|3024|294|559|238|0|,49.69198619592168|113.30340562266503|164.79572781619692|205.230325391608|250.56854745135453|294.3937914390185|nan|,9.93180231962448|2.2236641741096626|2.842170943040401e-14|0.0|12.49803267342608|14.0715865652482|nan|,0|3017|3681|3318|559|238|0|,0|0|0|0|0|0|0|,0|0|1543|2492|0|0|0|,0|3017|2138|826|559|238|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|3017|2138|766|318|507|32|,0|0|0|0|0|0|0|,2824|3035|2138|766|318|507|32|,0|0|0|0|0|50|0|,2820|3039|2138|766|318|457|32|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
4,0|1|2|3|4|5|6|,2842|3017|2138|766|60|258|489|,50.01155032258348|113.44465676002007|164.79572781619694|205.23032539160795|237.06912928523724|262.13947730802647|293.35924111639065|,10.02600097195336|0.0|0.0|5.684341886080802e-14|2.842170943040401e-14|0.0|14.879205420676758|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,2820|3039|2138|766|318|457|32|,49.79295197750056|113.18829578322188|164.79572781619694|205.23032539160795|257.40922296410395|291.01130158187317|326.890752593719|,9.7509398306168|3.010006439478509|0.0|5.684341886080802e-14|9.808864178907243|12.35516773080709|0.0|,0|2842|3017|2904|318|457|32|,0|0|0|0|0|0|0|,0|0|507|1436|0|0|0|,0|2842|2510|1468|318|457|32|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|2842|2510|1064|464|682|65|,0|0|0|0|0|0|0|,4347|2872|2510|1064|464|682|65|,0|0|0|0|0|304|0|,4340|2879|2510|1064|464|378|65|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
5,0|1|2|3|4|5|6|,4377|2842|2510|1064|404|60|443|,49.85358723643478|113.44465676002007|164.79572781619694|205.23032539160798|237.06912928523724|262.13947730802647|300.5617487627595|,10.137668140028044|0.0|0.0|2.842170943040401e-14|2.842170943040401e-14|0.0|16.45251112341535|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,4340|2879|2510|1064|464|378|65|,49.60568051511991|113.00111580765255|164.79572781619694|205.23032539160798|240.31098463301169|295.52840301055505|329.8325902140412|,9.812018900222336|3.907092839037097|0.0|2.842170943040401e-14|8.412182577212189|11.959597519574913|2.987450225962554|,0|4377|2842|3574|464|378|65|,0|0|0|0|0|0|0|,0|0|423|2844|0|0|0|,0|4377|2419|730|464|378|65|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|4377|2419|498|636|408|95|,0|0|0|0|0|0|0|,4555|4406|2419|498|636|408|95|,0|0|0|0|24|0|0|,4559|4402|2419|498|612|408|95|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
6,0|1|2|3|4|5|6|,4584|4377|2419|498|222|390|503|,49.89543892813968|113.44465676002008|164.79572781619692|205.23032539160798|237.06912928523724|262.13947730802647|308.5256517567831|,9.814771346049382|1.4210854715202004e-14|2.842170943040401e-14|2.842170943040401e-14|2.842170943040401e-14|0.0|15.619562543345264|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,4559|4402|2419|498|612|408|95|,49.74380138413732|113.24079149816401|164.79572781619692|205.23032539160798|253.0453314566226|302.9284259850628|332.5642634921708|,9.623808355130201|2.7021263818177528|2.842170943040401e-14|2.842170943040401e-14|12.053626537191777|11.426215292929102|4.317694946873903|,0|4584|4377|2917|612|408|95|,0|0|0|0|0|0|0|,0|0|2733|1842|0|0|0|,0|4584|1644|1075|612|408|95|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|4584|1644|870|427|740|153|,0|0|0|0|0|0|0|,4357|4605|1644|870|427|740|153|,0|0|0|0|0|490|10|,4349|4613|1644|870|427|250|143|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
7,0|1|2|3|4|5|6|,4378|4584|1644|870|205|222|393|,50.06903223776043|113.44465676002007|164.79572781619694|205.23032539160798|237.06912928523727|262.1394773080264|310.1497398186374|,9.989950926579967|0.0|0.0|2.842170943040401e-14|0.0|5.684341886080802e-14|22.011778608622578|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,4349|4613|1644|870|427|250|143|,49.8831678335307|113.22146820221595|164.79572781619694|205.23032539160798|250.1033617467342|296.7872481564422|333.5107392280695|,9.757817345225424|2.811823393819066|0.0|2.842170943040401e-14|12.52523565284598|15.888171860771521|5.688838993979479|,0|4378|4584|2514|427|250|143|,0|0|0|0|0|0|0|,0|0|3256|767|0|0|0|,0|4378|1328|1747|427|250|143|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|4378|1328|1139|813|419|196|,0|0|0|0|0|0|0|,4026|4401|1328|1139|813|419|196|,0|0|0|0|195|98|35|,4025|4402|1328|1139|618|321|161|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
8,0|1|2|3|4|5|6|,4049|4378|1328|1139|463|155|482|,50.0892482873962|113.44465676002007|164.79572781619692|205.23032539160798|237.0691292852372|262.1394773080264|306.49447689137963|,10.052370078225529|0.0|2.842170943040401e-14|2.842170943040401e-14|5.684341886080802e-14|5.684341886080802e-14|23.01493444996691|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,4025|4402|1328|1139|618|321|161|,49.91849371717802|113.25536946828568|164.79572781619692|205.23032539160798|243.3569997440274|292.24695828269546|334.90102020434614|,9.83068555154526|2.572812992698809|2.842170943040401e-14|2.842170943040401e-14|10.867464553315033|12.943727542711914|6.330690272988036|,0|4049|4378|2467|618|321|161|,0|0|0|0|0|0|0|,0|0|2802|1028|0|0|27|,0|4049|1576|1439|618|321|134|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|4049|1576|781|1121|438|172|,0|0|0|0|0|0|0|,6247|4088|1576|781|1121|438|172|,0|0|0|0|695|92|6|,6233|4102|1576|781|426|346|166|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
9,0|1|2|3|4|5|6|,6286|4049|1576|781|262|164|512|,50.044923523546295|113.44465676002008|164.79572781619692|205.23032539160798|237.0691292852372|262.1394773080264|308.8302388835375|,9.941849428674221|1.4210854715202004e-14|2.842170943040401e-14|2.842170943040401e-14|5.684341886080802e-14|5.684341886080802e-14|21.80727889831434|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,6233|4102|1576|781|426|346|166|,49.805030263609|112.99001727383188|164.79572781619692|205.23032539160798|246.7206247681889|295.4893731746133|336.6371035539456|,9.632964842221238|3.9854779394519375|2.842170943040401e-14|2.842170943040401e-14|12.198974778256577|11.522752930513137|6.770868250952412|,0|6286|4049|2357|426|346|166|,0|0|0|0|0|0|0|,0|956|2157|522|0|0|17|,0|5330|1892|1835|426|346|149|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|5330|1892|1230|867|497|162|,0|0|0|0|0|0|0|,4837|5354|1892|1230|867|497|162|,0|0|0|45|288|127|0|,4827|5364|1892|1185|579|370|162|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
