Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,N_BeforePacking_AddAge0s,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|6|,74|81|67|89|89|0|0|,50.89544594594594|101.25337037037036|150.4876865671642|200.41980898876406|248.0220112359551|nan|nan|,10.209782648693587|10.415859914767497|9.86242063503463|10.162703524090961|10.358305001567183|nan|nan|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,74|81|66|90|88|1|0|,50.856716216216206|101.25938271604939|150.09474242424244|200.1180777777778|247.77147727272725|275.606|nan|,10.112523670530237|10.261374316022607|9.200674430665899|10.222679546780915|9.828948273267816|0.0|nan|,0|74|81|156|89|0|0|,0|0|0|0|0|0|0|,0|0|0|132|82|0|0|,0|74|81|24|7|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|74|81|9|22|0|0|,0|0|0|0|0|0|0|,327|78|81|9|22|0|0|,0|0|0|0|0|0|0|,327|78|81|9|22|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
1,0|1|2|3|4|5|6|,331|74|81|9|15|7|0|,49.8265927553128|113.44465676002007|164.79572781619694|205.230325391608|237.06912928523718|262.13947730802647|nan|,10.316925529677835|0.0|0.0|0.0|8.526512829121202e-14|0.0|nan|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,327|78|81|9|22|0|0|,49.48690134728533|111.60628284215022|164.79572781619694|205.230325391608|245.04605820157929|nan|nan|,9.901985870637336|7.944987345590267|0.0|0.0|11.677028267045161|nan|nan|,0|331|74|90|22|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|331|74|90|22|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|331|74|81|24|7|0|,0|0|0|0|0|0|0|,55|331|74|81|24|7|0|,0|0|0|0|0|0|0|,54|332|74|81|24|7|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
2,0|1|2|3|4|5|6|,55|331|74|81|9|15|7|,50.630232738341405|113.44465676002007|164.79572781619694|205.23032539160798|237.06912928523727|262.13947730802647|281.8802424474333|,10.52014608730371|0.0|0.0|2.842170943040401e-14|0.0|0.0|0.0|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,54|332|74|81|24|7|0|,50.12119244165723|113.33825239857208|164.79572781619694|205.23032539160798|252.73809679948053|281.8802424474333|nan|,9.92326917753135|1.9358576840089023|0.0|2.842170943040401e-14|12.13713004698583|0.0|nan|,0|55|331|155|24|7|0|,0|0|0|0|0|0|0|,0|0|214|23|0|0|0|,0|55|117|132|24|7|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|55|117|66|75|22|0|,0|0|0|0|0|0|0|,210|58|117|66|75|22|0|,0|0|0|0|23|2|0|,212|56|117|66|52|20|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
3,0|1|2|3|4|5|6|,213|55|117|66|46|6|20|,50.40130784618111|113.44465676002004|164.79572781619686|205.230325391608|237.06912928523724|262.13947730802647|287.32070273850087|,10.163102973688751|2.842170943040401e-14|8.526512829121202e-14|0.0|2.842170943040401e-14|0.0|7.414097636287959|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,212|56|117|66|52|20|0|,50.27514061033814|112.79651577939278|164.79572781619686|205.230325391608|239.96186174940522|287.32070273850087|nan|,10.019246589220735|4.806742159952715|8.526512829121202e-14|0.0|8.00961350529853|7.414097636287958|nan|,0|213|55|183|52|20|0|,0|0|0|0|0|0|0|,0|0|0|127|8|0|0|,0|213|55|56|44|20|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|213|55|38|56|26|0|,0|0|0|0|0|0|0|,302|216|55|38|56|26|0|,0|0|0|0|0|8|0|,304|214|55|38|56|18|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
4,0|1|2|3|4|5|6|,305|213|55|38|18|38|18|,49.26402115197642|113.44465676002008|164.795727816197|205.230325391608|237.06912928523727|262.13947730802647|295.82652520687054|,9.569259598893405|1.4210854715202004e-14|5.684341886080802e-14|0.0|0.0|0.0|9.892169170663893|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,304|214|55|38|56|18|0|,49.158766581746356|113.29426775881399|164.795727816197|205.230325391608|254.08115115784423|295.82652520687054|nan|,9.407071743434734|2.19485521359432|5.684341886080802e-14|0.0|11.708476447578523|9.892169170663893|nan|,0|305|213|93|56|18|0|,0|0|0|0|0|0|0|,0|47|17|0|0|0|0|,0|258|196|93|56|18|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|258|196|55|56|56|0|,0|0|0|0|0|0|0|,250|258|196|55|56|56|0|,0|0|0|0|12|49|0|,248|260|196|55|44|7|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
5,0|1|2|3|4|5|6|,250|258|196|55|31|13|7|,49.92238524527711|113.44465676002005|164.79572781619692|205.2303253916081|237.0691292852372|262.13947730802647|291.1953140901617|,9.819247599616967|1.4210854715202004e-14|2.842170943040401e-14|8.526512829121202e-14|5.684341886080802e-14|0.0|14.951959892422716|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,248|260|196|55|44|7|0|,49.70007432250231|113.16807432086107|164.79572781619692|205.2303253916081|244.47627756469774|291.1953140901617|nan|,9.540269753509154|3.141474306240259|2.842170943040401e-14|8.526512829121202e-14|11.43826645906467|14.951959892422716|nan|,0|250|258|251|44|7|0|,0|0|0|0|0|0|0|,0|0|9|146|0|0|0|,0|250|249|105|44|7|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|250|249|83|53|19|1|,0|0|0|0|0|0|0|,219|252|249|83|53|19|1|,0|0|0|0|0|0|0|,221|250|249|83|53|19|1|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
6,0|1|2|3|4|5|6|,221|250|249|83|22|31|20|,48.46083035979429|113.44465676002007|164.79572781619694|205.23032539160795|237.06912928523724|262.13947730802647|289.8878918531491|,10.170179346051395|0.0|0.0|5.684341886080802e-14|2.842170943040401e-14|0.0|12.946004970223827|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,221|250|249|83|53|19|1|,48.46083035979429|113.44465676002007|164.79572781619694|205.23032539160795|251.73291775139697|287.9403728668033|326.890752593719|,10.170179346051395|0.0|0.0|5.684341886080802e-14|12.353120577364557|10.02813257778184|0.0|,0|221|250|332|53|19|1|,0|0|0|0|0|0|0|,0|0|29|317|0|0|0|,0|221|221|15|53|19|1|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|221|221|12|25|49|2|,0|0|0|0|0|0|0|,327|226|221|12|25|49|2|,0|0|0|0|0|29|0|,332|221|221|12|25|20|2|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
7,0|1|2|3|4|5|6|,332|221|221|12|3|22|22|,50.19449281413029|113.4446567600201|164.7957278161969|205.23032539160798|237.06912928523727|262.13947730802647|292.30229967124615|,9.544306444305725|2.842170943040401e-14|5.684341886080802e-14|2.842170943040401e-14|0.0|0.0|15.057316423248714|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,332|221|221|12|25|20|2|,50.19449281413029|113.4446567600201|164.7957278161969|205.23032539160798|259.13103554529175|288.54467399568495|329.8785564268587|,9.544306444305725|2.842170943040401e-14|5.684341886080802e-14|2.842170943040401e-14|8.146898806189148|9.653243008868953|2.9878038331397363|,0|332|221|233|25|20|2|,0|0|0|0|0|0|0|,0|0|27|142|0|9|0|,0|332|194|91|25|11|2|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|332|194|87|7|33|2|,0|0|0|0|0|0|0|,168|333|194|87|7|33|2|,0|0|0|0|0|9|0|,168|333|194|87|7|24|2|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
8,0|1|2|3|4|5|6|,169|332|194|87|4|3|26|,50.065033458575236|113.44465676002008|164.79572781619692|205.23032539160792|237.06912928523727|262.13947730802647|294.0883717962314|,9.740066171110463|1.4210854715202004e-14|2.842170943040401e-14|8.526512829121202e-14|0.0|0.0|16.734070353389576|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,168|333|194|87|7|24|2|,49.8839586067044|113.34568063933798|164.79572781619692|205.23032539160792|247.81356415214694|290.6608193239321|335.2190014638229|,9.48116003192349|1.8034307467913613|2.842170943040401e-14|8.526512829121202e-14|12.406604725401385|12.254718236960905|2.3526412038243905|,0|169|332|281|7|24|2|,0|0|0|0|0|0|0|,0|0|198|228|0|0|0|,0|169|134|53|7|24|2|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|169|134|31|26|26|3|,0|0|0|0|0|0|0|,253|171|134|31|26|26|3|,0|0|0|0|0|5|0|,254|170|134|31|26|21|3|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
9,0|1|2|3|4|5|6|,255|169|134|31|22|4|24|,49.85301673584016|113.44465676002007|164.79572781619697|205.230325391608|237.06912928523724|262.13947730802647|305.3853397810477|,10.459310117705144|0.0|2.842170943040401e-14|0.0|2.842170943040401e-14|0.0|15.772916780043888|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,254|170|134|31|26|21|3|,49.74020551841652|113.23914152002845|164.79572781619697|205.230325391608|240.9261059041279|301.1194813058372|335.24634910752087|,10.323886918338996|2.6716981198911167|2.842170943040401e-14|0.0|9.045411959257589|11.551256373475788|6.098839697169982|,0|255|169|165|26|21|3|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|255|169|165|26|21|3|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|255|169|134|53|21|7|,0|0|0|0|0|0|0|,190|257|169|134|53|21|7|,0|0|0|7|0|0|0|,191|256|169|127|53|21|7|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
