"","Year","BT","DV","BTonly","DVonly","BTDV","Hybrids","BT.SE","DV.SE","BTonly.SE","DVonly.SE","BTDV.SE","Hybrids.SE","Model"
"1",0,272.5,273.5,1.1,2.1,271.4,0,0.401386485959743,0.372677996249965,0.348010216963685,0.433333333333333,0.371184290855335,0,"M1:IntraMate,NoSelec"
"2",20,212.9,139.3,104.7,31.1,108.2,0,2.54929184066652,9.73886828926008,8.30267694448269,3.35476443948669,7.0534467539715,0,"M1:IntraMate,NoSelec"
"3",30,211,149.7,97,35.7,114,0,2.02210011841375,8.75347550024179,6.44463601247839,2.01135664553941,7.63326055278258,0,"M1:IntraMate,NoSelec"
"4",40,207.8,163.9,83.3,39.4,124.5,0,1.65193489244852,8.57703652525483,6.59637947833675,2.32952069462082,6.95101910993393,0,"M1:IntraMate,NoSelec"
"5",50,209.8,178.5,72.3,41,137.5,0,2.46215804168259,9.4413393588457,7.52189396953247,3.10197069976849,7.30791047807481,0,"M1:IntraMate,NoSelec"
"6",51,212.1,178.6,74.2,40.7,137.9,0,2.25807194059199,8.996542545766,7.37684063659896,2.96666666666667,7.67456115285355,0,"M1:IntraMate,NoSelec"
"7",52,214.5,179.8,72.9,38.2,141.6,0,2.03988017077257,8.41400948154657,6.61051351173938,2.38886304895586,7.31846978541279,0,"M1:IntraMate,NoSelec"
"8",53,213.8,180.6,73.4,40.2,140.4,0,2.28424555986824,7.46874970943747,6.54930021707154,1.87853370714738,7.19135283208629,0,"M1:IntraMate,NoSelec"
"9",54,211.4,181.5,70.3,40.4,141.1,0,2.28619042659763,7.13403423347859,5.45292989542727,1.17567947256989,6.84665368385656,0,"M1:IntraMate,NoSelec"
"10",55,210.9,184,69.5,42.6,141.4,0,2.13671606807165,7.57627876995032,5.83333333333333,1.99555060627944,7.27583519451738,0,"M1:IntraMate,NoSelec"
"11",60,208.6,189.9,66.3,47.6,142.3,0,2.08273324690844,8.61710185877157,6.5997474699163,2.8095076674274,6.9984919010376,0,"M1:IntraMate,NoSelec"
"12",70,203.5,200.1,53.7,50.3,149.8,0,1.88709064729575,8.82477572897276,6.35968203258273,2.7408433414229,7.53775681338804,0,"M1:IntraMate,NoSelec"
"13",80,207.5,210.7,48.3,51.5,159.2,0,2.70082291986062,6.99213844256534,6.11382767903127,2.92593764648379,4.68520128821709,0,"M1:IntraMate,NoSelec"
"14",81,205.4,211.2,47.8,53.6,157.6,0,2.37673912933012,7.54512351713932,6.44084190494103,2.99703557239854,5.19016163310718,0,"M1:IntraMate,NoSelec"
"15",82,208.3,212.8,48,52.5,160.3,0,2.7408433414229,7.21233511269254,6.00370256129036,3.2736320298205,5.2154684459894,0,"M1:IntraMate,NoSelec"
"16",83,204,215.3,46.4,57.7,157.6,0,2.25092573548455,7.89662375111457,6.72342505308451,2.5475478405714,6.07581727470104,0,"M1:IntraMate,NoSelec"
"17",84,200.3,217.1,44.2,61,156.1,0,3.86163465675123,7.89437211633143,6.06959636219741,4.63321342770508,5.25452186216786,0,"M1:IntraMate,NoSelec"
"18",85,201.1,217.2,42.4,58.5,158.7,0,3.15330514434194,8.27284715197857,6.38957484240279,4.39001392050438,5.31047183507371,0,"M1:IntraMate,NoSelec"
