Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,N_BeforePacking_AddAge0s,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|6|,266|266|384|417|411|370|386|,50.584966165413526|100.46052255639097|150.27603906250002|200.89772182254197|249.17973236009732|300.096572972973|350.481945595855|,10.032937820543157|9.840705207775168|9.822482646440255|10.546616234572866|10.387086993269149|9.93771214609927|10.235041666331798|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,266|267|386|415|409|372|385|,50.54723308270677|100.49401872659176|150.56159844559585|201.14414698795179|249.16686797066015|300.1187446236559|350.572974025974|,9.922772104174657|9.642587600269067|9.660881680062301|10.236897344343916|10.067466370296081|9.891532740902838|10.104992076793163|,0|0|0|266|0|650|1584|,0|0|0|0|0|0|0|,0|0|0|0|0|649|1584|,0|0|0|266|0|1|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|266|0|1|,0|0|0|0|0|0|0|,57083|375|0|0|266|0|1|,35818|0|0|0|0|0|0|,21476|150|0|0|266|0|1|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
1,0|1|2|3|4|5|6|,21626|266|0|1|0|0|0|,50.02446602707109|248.951279975208|nan|331.33733211733215|nan|nan|nan|,10.011691968245897|0.0|nan|0.0|nan|nan|nan|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,21476|150|0|0|266|0|1|,49.830925281642294|77.73433968593034|nan|nan|248.951279975208|nan|331.33733211733215|,9.771845164237982|2.5286268989276444|nan|nan|0.0|nan|0.0|,0|0|0|21626|0|266|1|,0|0|0|0|0|0|0|,0|0|0|21626|0|0|0|,0|0|0|0|0|266|1|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|266|1|,0|0|0|0|0|0|0|,6305|39|0|0|0|266|1|,0|0|0|0|0|0|0|,6308|36|0|0|0|266|1|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
2,0|1|2|3|4|5|6|,6344|0|266|0|1|0|0|,50.042061188306285|nan|304.906131699292|nan|343.8225471436087|nan|nan|,10.054444524773405|nan|0.0|nan|0.0|nan|nan|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,6308|36|0|0|0|266|1|,49.886435212599736|77.3111904871082|nan|nan|nan|304.906131699292|343.8225471436087|,9.868178407559956|1.8645339685455804|nan|nan|nan|0.0|0.0|,0|0|0|6344|0|266|1|,0|0|0|0|0|0|0|,0|0|0|6344|0|0|0|,0|0|0|0|0|266|1|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|267|,0|0|0|0|0|0|0|,9423|52|0|0|0|0|267|,0|0|0|0|0|0|166|,9422|53|0|0|0|0|101|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
3,0|1|2|3|4|5|6|,9475|0|0|101|0|0|0|,50.205924303906826|nan|nan|331.3373321173322|nan|nan|nan|,9.992803474690689|nan|nan|5.684341886080802e-14|nan|nan|nan|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,9422|53|0|0|0|0|101|,50.050945366027214|77.75708567563655|nan|nan|nan|nan|331.3373321173322|,9.801252105540788|3.249964872932773|nan|nan|nan|nan|5.684341886080802e-14|,0|0|0|9475|0|0|101|,0|0|0|0|0|0|0|,0|0|0|9475|0|0|0|,0|0|0|0|0|0|101|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|101|,0|0|0|0|0|0|0|,4508|35|0|0|0|0|101|,0|0|0|0|0|0|0|,4513|30|0|0|0|0|101|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
4,0|1|2|3|4|5|6|,4543|0|0|0|101|0|0|,50.07515506829572|nan|nan|nan|343.82254714360863|nan|nan|,9.98624013009904|nan|nan|nan|5.684341886080802e-14|nan|nan|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,4513|30|0|0|0|0|101|,49.88579823108417|78.56073527948729|nan|nan|nan|nan|343.82254714360863|,9.740047157248515|3.6712723880292413|nan|nan|nan|nan|5.684341886080802e-14|,0|0|0|4543|0|0|101|,0|0|0|0|0|0|0|,0|0|0|4409|0|0|0|,0|0|0|134|0|0|101|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|134|0|101|,0|0|0|0|0|0|0|,5927|38|0|0|134|0|101|,0|0|0|0|0|0|0|,5920|45|0|0|134|0|101|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
5,0|1|2|3|4|5|6|,5965|134|0|0|0|101|0|,50.02769532277042|248.95127997520802|nan|nan|nan|349.72014512580114|nan|,10.11064689471789|2.842170943040401e-14|nan|nan|nan|5.684341886080802e-14|nan|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,5920|45|0|0|134|0|101|,49.813733997030596|78.17549639787717|nan|nan|248.95127997520802|nan|349.72014512580114|,9.842214519501468|2.9179955889064604|nan|nan|2.842170943040401e-14|nan|5.684341886080802e-14|,0|0|0|5965|0|134|101|,0|0|0|0|0|0|0|,0|0|0|5965|0|0|0|,0|0|0|0|0|134|101|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|134|101|,0|0|0|0|0|0|0|,8235|52|0|0|0|134|101|,0|0|0|0|0|0|0|,8234|53|0|0|0|134|101|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
6,0|1|2|3|4|5|6|,8287|0|134|0|0|0|101|,49.916693290142554|nan|304.906131699292|nan|nan|nan|352.505973154102|,10.065635579187525|nan|0.0|nan|nan|nan|1.1368683772161603e-13|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,8234|53|0|0|0|134|101|,49.73458655042751|78.20852149417443|nan|nan|nan|304.906131699292|352.505973154102|,9.83430491675005|3.3052893775191285|nan|nan|nan|0.0|1.1368683772161603e-13|,0|0|0|8287|0|134|101|,0|0|0|0|0|0|0|,0|0|0|8287|0|0|0|,0|0|0|0|0|134|101|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|235|,0|0|0|0|0|0|0|,12712|68|0|0|0|0|235|,0|0|0|0|0|0|108|,12705|75|0|0|0|0|127|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
7,0|1|2|3|4|5|6|,12780|0|0|76|0|0|51|,50.07244527419329|nan|nan|331.3373321173321|nan|nan|353.8219051363596|,10.016440037906216|nan|nan|5.684341886080802e-14|nan|nan|0.0|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,12705|75|0|0|0|0|127|,49.90692303665919|78.11191231246974|nan|nan|nan|nan|340.3665701013512|,9.809097355615465|2.4135892428373475|nan|nan|nan|nan|11.022314738102853|,0|0|0|12780|0|0|127|,0|0|0|0|0|0|0|,0|0|0|12780|0|0|0|,0|0|0|0|0|0|127|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|127|,0|0|0|0|0|0|0|,6925|43|0|0|0|0|127|,0|0|0|0|0|0|0|,6925|43|0|0|0|0|127|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
8,0|1|2|3|4|5|6|,6968|0|0|0|76|0|51|,50.18412134342643|nan|nan|nan|343.82254714360863|nan|354.44350739046024|,9.968597942361248|nan|nan|nan|5.684341886080802e-14|nan|0.0|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,6925|43|0|0|0|0|127|,50.011819281441596|77.93276737238179|nan|nan|nan|nan|348.0876571639979|,9.753019111325015|3.0502219483901856|nan|nan|nan|nan|5.2065728160640905|,0|0|0|6968|0|0|127|,0|0|0|0|0|0|0|,0|0|0|6968|0|0|0|,0|0|0|0|0|0|127|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|127|,0|0|0|0|0|0|0|,8704|44|0|0|0|0|127|,0|0|0|0|0|0|0|,8687|61|0|0|0|0|127|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
9,0|1|2|3|4|5|6|,8748|0|0|0|0|76|51|,49.93374212420907|nan|nan|nan|nan|349.7201451258011|354.73713150440597|,10.023047892361193|nan|nan|nan|nan|1.1368683772161603e-13|1.1368683772161603e-13|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,8687|61|0|0|0|0|127|,49.73603402556345|78.08932004116673|nan|nan|nan|nan|351.7348404431936|,9.772357099703145|2.978391611974505|nan|nan|nan|nan|2.4594108527192873|,0|0|0|8748|0|0|127|,0|0|0|0|0|0|0|,0|0|0|8748|0|0|0|,0|0|0|0|0|0|127|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|127|,0|0|0|0|0|0|0|,6217|40|0|0|0|0|127|,0|0|0|0|0|0|0|,6223|34|0|0|0|0|127|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
