Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,N_BeforePacking_AddAge0s,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|6|,3195|3223|3315|3349|3272|3365|3381|,49.98630641627543|100.16830158237666|149.8316826546003|200.02094386383996|249.87328361858192|300.1445509658247|349.9364480922804|,10.07945599997365|10.094250757742278|10.112698315720788|9.96350684217369|9.846533998015937|10.135591690446885|10.019644134150637|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,3190|3227|3311|3352|3279|3358|3383|,49.91271943573667|100.11011713665944|149.77841649048625|200.00484397374703|249.8621219884111|300.1716989279333|349.96565858705287|,9.952315079296104|9.930930861701503|9.829843988733746|9.824881730682403|9.735988227271799|9.844996913937687|9.928535572383291|,0|3195|3223|6664|6637|3381|0|,0|0|0|0|0|0|0|,0|0|816|5755|6280|3225|0|,0|3195|2407|909|357|156|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|3169|2786|610|352|0|,0|0|0|0|0|0|0|,54089|332|3169|2786|610|352|0|,24215|0|2054|1967|379|220|0|,29992|179|1115|819|231|132|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
1,0|1|2|3|4|5|6|,29649|1080|677|136|168|51|128|,50.0064869373248|134.4593188156105|181.3429854668015|218.25988232814936|247.32879632779216|270.21809182552283|293.8960374613333|,9.958781889340967|0.0|2.842170943040401e-14|0.0|2.842170943040401e-14|5.684341886080802e-14|6.948005355173495|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,29473|176|1080|813|219|128|0|,49.837856187886246|78.24543056347525|134.4593188156105|187.51850572897038|252.65918021082527|293.89603746133326|nan|,9.742992837130457|2.9870430932317973|0.0|13.778388660333057|9.674489106644693|6.948005355173494|nan|,0|29649|1080|813|219|128|0|,0|0|0|0|0|0|0|,0|19787|20|161|29|33|0|,0|9862|1060|652|190|95|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|9657|1520|233|129|0|,0|0|0|0|0|0|0|,1533|16|9657|1520|233|129|0|,0|0|7136|855|45|42|0|,1536|13|2521|665|188|87|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
2,0|1|2|3|4|5|6|,1529|2520|410|221|68|100|84|,50.04109296614509|134.4593188156105|181.34298546680154|218.25988232814927|247.32879632779216|270.21809182552266|300.8955371704433|,10.154830720416655|0.0|5.684341886080802e-14|8.526512829121202e-14|2.842170943040401e-14|1.1368683772161603e-13|10.022527703860499|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,1517|12|2520|631|168|84|0|,49.823731986959565|77.51914341818058|134.4593188156105|194.27267517576803|260.95337698120323|300.8955371704433|nan|,9.894134865170287|1.686540726899561|0.0|17.610995016324136|11.235117027752139|10.022527703860499|nan|,0|1529|2520|631|168|84|0|,0|0|0|0|0|0|0|,0|60|429|127|25|26|0|,0|1469|2091|504|143|58|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|1454|2316|211|130|0|,0|0|0|0|0|0|0|,1103|6|1454|2316|211|130|0|,41|0|566|1570|65|51|0|,1060|7|888|746|146|79|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
3,0|1|2|3|4|5|6|,1001|822|635|98|95|32|72|,50.08851305984665|134.4593188156105|181.34298546680154|218.25988232814927|247.32879632779208|270.2180918255228|296.85489461477914|,9.954303415805311|0.0|5.684341886080802e-14|8.526512829121202e-14|1.1368683772161603e-13|0.0|11.779180048093673|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,994|7|822|733|127|72|0|,49.8975864996821|77.20008460321291|134.4593188156105|186.27866881252064|253.09617787052733|296.85489461477914|nan|,9.723926868464597|1.6179358584091228|0.0|12.563802884675292|9.937233544621028|11.779180048093673|nan|,0|1001|822|733|127|72|0|,0|0|0|0|0|0|0|,0|98|91|75|10|15|0|,0|903|731|658|117|57|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|859|1215|152|75|5|,0|0|0|0|0|0|0|,887|5|859|1215|152|75|5|,4|0|159|598|23|12|2|,882|6|700|617|129|63|3|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
4,0|1|2|3|4|5|6|,851|625|321|259|57|58|61|,49.73913054331033|134.45931881561046|181.3429854668015|218.25988232814933|247.32879632779216|270.21809182552283|301.6830944332675|,9.889930360059985|2.842170943040401e-14|2.842170943040401e-14|2.842170943040401e-14|2.842170943040401e-14|5.684341886080802e-14|12.79511374841627|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,846|5|625|580|115|59|2|,49.57341616557478|77.77800325616506|134.45931881561046|197.82828941005857|258.8729627527345|300.7457016631248|329.3361811524784|,9.679316404183329|2.086444503922912|2.842170943040401e-14|18.35268425325368|11.444215050789603|11.935832015764051|0.0|,0|851|625|580|115|59|2|,0|0|0|0|0|0|0|,0|31|74|111|14|11|0|,0|820|551|469|101|48|2|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|800|730|243|88|8|,0|0|0|0|0|0|0|,541|4|800|730|243|88|8|,3|0|152|255|60|27|3|,537|5|648|475|183|61|5|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
5,0|1|2|3|4|5|6|,500|579|303|134|130|37|59|,49.554517454242244|134.4593188156105|181.3429854668015|218.25988232814936|247.32879632779216|270.2180918255229|298.1425804230471|,10.04975726446184|0.0|2.842170943040401e-14|0.0|2.842170943040401e-14|1.1368683772161603e-13|13.468636307054084|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,495|5|579|437|167|54|5|,49.263913415740085|78.32431726595652|134.4593188156105|192.6630407972835|252.4000773662115|295.1532517268318|330.4273303421716|,9.671634134513184|1.7860374816557754|0.0|17.022269602346825|9.505796067125935|9.608020867645237|2.182298379386566|,0|500|579|437|167|54|5|,0|0|0|0|0|0|0|,0|8|13|54|9|6|1|,0|492|566|383|158|48|4|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|467|756|217|76|4|,0|0|0|0|0|0|0|,694|6|467|756|217|76|4|,13|0|33|261|59|14|0|,686|1|434|495|158|62|4|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
6,0|1|2|3|4|5|6|,623|393|299|143|66|75|59|,49.55363494042016|134.45931881561046|181.3429854668015|218.25988232814936|247.32879632779216|270.2180918255227|301.6070009808325|,9.72894015276624|2.842170943040401e-14|2.842170943040401e-14|0.0|2.842170943040401e-14|5.684341886080802e-14|14.11114508237483|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,622|1|393|442|141|55|4|,49.512360241214495|75.22649784634214|134.45931881561046|193.2866873925317|259.50395350743605|299.1154438892921|335.8659109895115|,9.682102420398708|0.0|2.842170943040401e-14|17.270564450653385|11.421309822745853|11.035789249071646|1.860194661507967|,0|623|393|442|141|55|4|,0|0|0|0|0|0|0|,0|61|37|90|28|18|2|,0|562|356|352|113|37|2|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|534|539|157|88|5|,0|0|0|0|0|0|0|,780|2|534|539|157|88|5|,40|0|78|144|32|16|1|,737|5|456|395|125|72|4|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
7,0|1|2|3|4|5|6|,698|419|210|148|71|38|68|,50.27430529353774|134.4593188156105|181.34298546680154|218.25988232814936|247.3287963277921|270.2180918255229|297.35830766963915|,10.035441847330553|0.0|5.684341886080802e-14|0.0|8.526512829121202e-14|1.1368683772161603e-13|13.184032035178364|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,693|5|419|358|109|65|3|,50.071008951501014|78.45117829982867|134.4593188156105|196.6047193647889|255.30855072149632|295.73237994731227|332.58674165338954|,9.778777286454263|2.4312371096028325|0.0|18.179530650276973|10.907542167370622|10.997419586406162|4.596986745702774|,0|698|419|358|109|65|3|,0|0|0|0|0|0|0|,0|0|8|22|10|19|0|,0|698|411|336|99|46|3|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|668|557|185|69|4|,0|0|0|0|0|0|0|,510|3|668|557|185|69|4|,0|0|94|169|35|16|0|,510|3|574|388|150|53|4|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
8,0|1|2|3|4|5|6|,462|524|229|113|87|47|50|,50.07971594980376|134.4593188156105|181.34298546680154|218.25988232814927|247.32879632779208|270.2180918255229|303.3433219718616|,10.363089497147493|0.0|5.684341886080802e-14|8.526512829121202e-14|1.1368683772161603e-13|1.1368683772161603e-13|14.56005151626527|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,459|3|524|342|134|46|4|,49.89630936251653|78.14092380474976|134.4593188156105|193.54067361104802|255.3571313158021|300.5603373259642|335.34764539968086|,10.144704850934078|0.19874988812755673|0.0|17.364250605878226|10.922855360006583|11.47671262982009|4.676832915915435|,0|462|524|342|134|46|4|,0|0|0|0|0|0|0|,0|8|30|43|25|7|0|,0|454|494|299|109|39|4|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|434|633|146|66|7|,0|0|0|0|0|0|0|,727|3|434|633|146|66|7|,0|0|43|214|21|14|1|,726|4|391|419|125|52|6|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
9,0|1|2|3|4|5|6|,674|352|264|107|59|50|50|,49.59560450050658|134.4593188156105|181.34298546680154|218.25988232814925|247.3287963277922|270.21809182552283|301.45823831237635|,10.007964015779041|0.0|5.684341886080802e-14|1.1368683772161603e-13|0.0|5.684341886080802e-14|15.856256890834487|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,670|4|352|371|109|45|5|,49.42336743076844|78.44531368164711|134.4593188156105|191.99017674487217|257.8284731616135|297.6716809313977|335.5372547411837|,9.784223802172006|2.150878850810486|0.0|16.724191465172648|11.405568467434161|11.485998972793793|6.036038626804258|,0|674|352|371|109|45|5|,0|0|0|0|0|0|0|,0|15|0|3|9|1|0|,0|659|352|368|100|44|5|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|614|563|155|72|7|,0|0|0|0|0|0|0|,536|1|614|563|155|72|7|,41|0|80|134|19|13|1|,495|2|534|429|136|59|6|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
