Subpopulation,K,N_Initial,PopSizes_Mean,PopSizes_Std,ToTFemales,ToTMales,ToTYYMales,BreedFemales,BreedMales,BreedYYMales,Births,EggDeaths,MyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort,N_AfterEmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PackingDeaths_Immigration,N_AfterImmigration,Deaths_AfterImmiMort,N_AfterImmiMortality,SubpopEmigration,SubpopImmigration,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,Alleles,He,Ho
1,6262,80,131.2026962539563,83.86382653916074,44,36,0,6,5,0,125,72,125,0,0,0,0,64,0,64,0,0,0,0,86,0,86,14,32,25,2,0,18,25,18,402,0.9218154761904762,0.907142857143
2,5837,50,139.20402361711155,80.30572204049582,23,27,0,2,4,0,48,28,48,0,0,0,0,37,0,37,0,0,0,0,52,0,52,9,28,20,2,0,11,20,11,398,0.9169428571428575,0.9
3,2823,57,129.9271386023193,71.5879529909731,33,24,0,4,1,0,32,19,32,0,0,0,0,57,0,57,0,0,0,0,47,0,47,22,32,26,1,0,8,26,8,401,0.9144425390962792,0.903091060986
4,2997,48,141.41642245090588,76.8215356376763,24,24,0,3,3,0,101,58,101,0,0,0,0,41,0,41,0,0,0,0,73,0,73,14,28,18,0,0,14,18,14,399,0.9188884755291005,0.90376984127
5,153,27,194.7009327684371,58.85877648470525,14,13,0,1,6,0,0,0,0,0,0,0,17,17,0,17,0,0,0,6,27,0,27,12,27,15,0,0,12,15,12,374,0.9099875889999344,0.890652557319
6,111,46,115.66496679897999,80.68779963106735,19,27,0,3,5,0,57,33,57,0,0,0,6,39,0,39,0,0,0,11,43,0,43,8,19,13,0,0,9,13,9,400,0.9149450895670177,0.908902691511
7,4242,46,144.60118638597268,95.76244403110442,26,20,0,3,5,0,72,41,72,0,0,0,0,35,0,35,0,0,0,0,66,0,66,12,35,7,1,0,18,7,18,399,0.9169142137006031,0.899585921325
8,4682,44,130.4396419473508,72.24868696346815,17,27,0,1,4,0,31,18,31,0,0,0,0,45,0,45,0,0,0,0,41,0,41,16,26,16,1,0,10,16,10,399,0.916826544667454,0.909090909091
9,1708,29,186.25135286779016,48.49263257226933,11,18,0,2,2,0,23,13,23,0,0,0,0,25,0,25,0,0,0,0,34,0,34,15,22,15,0,0,13,15,13,388,0.9105090311986866,0.903119868637
10,3109,90,120.90828498690183,85.95792196324278,51,39,0,8,6,0,275,158,275,0,0,0,0,66,0,66,0,0,0,0,144,0,144,11,24,20,1,0,21,20,21,402,0.9226249265138156,0.9
