Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,N_BeforePacking_AddAge0s,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|6|,3196|3141|3389|3301|3377|3357|3339|,49.797584167709644|99.94358739255014|146.92810120979638|193.19950045440774|239.7436609416642|286.7491516234733|337.6348724168913|,9.85283403792842|10.021757338984843|12.950665368924913|19.79647263927754|27.605811606173216|35.40321260453662|34.7748919150843|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,3202|3341|3859|3531|3329|2910|2928|,49.806919737663954|101.04095450463932|150.09369966312516|198.81943925233648|249.89004085310904|299.8638615120275|350.2631355874317|,9.80531641111291|10.44771731622511|11.144008666060792|10.296464105457279|9.85177845076558|9.96403809220008|9.81960476674038|,0|3196|3141|6690|6734|3339|0|,0|0|0|0|0|0|0|,0|0|608|5826|6546|3239|0|,0|3196|2533|864|188|100|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|3164|2884|502|185|0|,0|0|0|0|0|0|0|,49266|314|3164|2884|502|185|0|,19976|0|1965|2065|231|66|0|,29520|171|1199|819|271|119|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
1,0|1|2|3|4|5|6|,29107|1125|677|126|196|53|100|,49.98634326782962|134.4593188156105|181.3429854668015|218.25988232814922|247.32879632779213|270.2180918255229|296.33083037812963|,10.005964282477116|0.0|2.842170943040401e-14|1.4210854715202004e-13|5.684341886080802e-14|1.1368683772161603e-13|7.02605134403063|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,28939|168|1125|803|249|100|0|,49.82194278010671|78.30530585243412|134.4593188156105|187.13567413993954|252.20081504819265|296.33083037812963|nan|,9.796242465724598|2.9784573265182424|0.0|13.427317238831924|9.369125346038935|7.02605134403063|nan|,0|29107|1125|803|249|100|0|,0|0|0|0|0|0|0|,0|20446|34|86|44|28|0|,0|8661|1091|717|205|72|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|8454|1605|249|101|0|,0|0|0|0|0|0|0|,1308|9|8454|1605|249|101|0|,13|0|6430|990|69|21|0|,1299|5|2024|615|180|80|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
2,0|1|2|3|4|5|6|,1240|2023|371|217|65|94|73|,50.18491020648163|134.45931881561046|181.3429854668015|218.25988232814927|247.32879632779216|270.21809182552266|302.053773763648|,9.979416404268983|2.842170943040401e-14|2.842170943040401e-14|8.526512829121202e-14|2.842170943040401e-14|1.1368683772161603e-13|10.675726693290475|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,1235|5|2023|588|159|73|0|,50.0717074269046|78.1459967620085|134.45931881561046|194.96707835610843|260.86083265978385|302.053773763648|nan|,9.837009112207472|3.411155410214884|2.842170943040401e-14|17.81413273127557|11.252678392215834|10.675726693290475|nan|,0|1240|2023|588|159|73|0|,0|0|0|0|0|0|0|,0|58|174|45|13|6|0|,0|1182|1849|543|146|67|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|1140|2083|235|135|0|,0|0|0|0|0|0|0|,928|3|1140|2083|235|135|0|,24|0|305|1339|58|39|0|,904|2|835|744|177|96|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
3,0|1|2|3|4|5|6|,852|753|604|108|121|32|87|,49.90406414222212|134.45931881561046|181.3429854668015|218.25988232814925|247.32879632779216|270.2180918255228|298.2591101479821|,9.908262434516928|2.842170943040401e-14|2.842170943040401e-14|1.1368683772161603e-13|2.842170943040401e-14|0.0|13.6214510485565|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,850|2|753|712|153|87|0|,49.84268938325312|75.98833670404566|134.45931881561046|186.94273948509587|252.11609996130446|298.2591101479821|nan|,9.838596045576777|0.9234234234802301|2.842170943040401e-14|13.242669537403964|9.309120872852711|13.6214510485565|nan|,0|852|753|712|153|87|0|,0|0|0|0|0|0|0|,0|0|68|70|16|18|0|,0|852|685|642|137|69|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|821|1118|192|76|12|,0|0|0|0|0|0|0|,773|2|821|1118|192|76|12|,0|0|106|505|26|12|0|,773|2|715|613|166|64|12|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
4,0|1|2|3|4|5|6|,709|641|319|245|72|72|70|,49.94008329772367|134.45931881561046|181.3429854668015|218.25988232814927|247.3287963277922|270.2180918255228|304.64945202210424|,9.694128042886154|2.842170943040401e-14|2.842170943040401e-14|8.526512829121202e-14|0.0|0.0|13.804684243296645|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,707|2|641|564|144|60|10|,49.86130302795557|77.78890866074599|134.45931881561046|197.3795807345856|258.7734440766575|300.5349971670419|329.3361811524784|,9.592824812326166|2.627591066066465|2.842170943040401e-14|18.298878264124546|11.444647748865293|10.189685321583136|0.0|,0|709|641|564|144|60|10|,0|0|0|0|0|0|0|,0|17|98|122|17|10|1|,0|692|543|442|127|50|9|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|653|720|246|99|12|,0|0|0|0|0|0|0|,848|6|653|720|246|99|12|,49|0|76|207|59|23|3|,799|5|577|513|187|76|9|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
5,0|1|2|3|4|5|6|,752|528|310|150|129|40|75|,49.54314379511736|134.4593188156105|181.3429854668015|218.25988232814936|247.3287963277922|270.2180918255228|300.79425360048515|,10.576969614302426|0.0|2.842170943040401e-14|0.0|0.0|0.0|16.0029061749484|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,747|5|528|460|169|67|8|,49.34809064886215|78.68408384564653|134.4593188156105|193.38110400854535|252.74638106098286|296.8976879869516|333.42799061382823|,10.333274813420072|4.277161941358092|0.0|17.305885778692765|9.729053062898494|11.985915488161993|2.362407293982971|,0|752|528|460|169|67|8|,0|0|0|0|0|0|0|,0|75|56|89|36|19|1|,0|677|472|371|133|48|7|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|644|649|200|70|10|,0|0|0|0|0|0|0|,1004|8|644|649|200|70|10|,75|0|114|241|71|14|3|,933|5|530|408|129|56|7|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
6,0|1|2|3|4|5|6|,882|471|238|129|61|54|56|,50.32266599507228|134.4593188156105|181.34298546680157|218.25988232814936|247.3287963277922|270.2180918255229|303.37086624518633|,9.857053077584178|0.0|8.526512829121202e-14|0.0|0.0|1.1368683772161603e-13|14.57939455073805|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,877|5|471|367|115|50|6|,50.15422134075798|79.86785836179953|134.4593188156105|194.31922441806546|258.0768133441178|299.7558462772326|333.49603264480055|,9.625121360934955|3.437624996214909|0.0|17.62554106096368|11.423426268772811|10.666384403866676|4.399423475234382|,0|882|471|367|115|50|6|,0|0|0|0|0|0|0|,0|37|31|11|9|10|2|,0|845|440|356|106|40|4|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|802|605|169|77|8|,0|0|0|0|0|0|0|,738|8|802|605|169|77|8|,0|0|143|155|21|25|1|,742|4|659|450|148|52|7|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
7,0|1|2|3|4|5|6|,699|568|264|133|97|38|56|,49.29709591052602|134.4593188156105|181.34298546680154|218.25988232814936|247.32879632779216|270.2180918255229|302.0026135289926|,10.224845653021875|0.0|5.684341886080802e-14|0.0|2.842170943040401e-14|1.1368683772161603e-13|16.700051785335056|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,695|4|568|397|135|49|7|,49.121249233925035|79.85045596994632|134.4593188156105|193.7106108636762|253.77170913456072|297.60708637892697|332.7713035794512|,9.985239065415167|2.654433112468961|0.0|17.424585884284028|10.293814145622433|12.693238718128313|4.620473251226428|,0|699|568|397|135|49|7|,0|0|0|0|0|0|0|,0|11|34|32|20|9|2|,0|688|534|365|115|40|5|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|651|699|182|64|8|,0|0|0|0|0|0|0|,833|2|651|699|182|64|8|,41|0|120|251|41|16|1|,786|8|531|448|141|48|7|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
8,0|1|2|3|4|5|6|,735|481|274|126|80|45|48|,50.39972085072236|134.45931881561046|181.3429854668015|218.25988232814922|247.3287963277922|270.2180918255229|304.68070647364675|,9.632337746717944|2.842170943040401e-14|2.842170943040401e-14|1.4210854715202004e-13|0.0|1.1368683772161603e-13|15.99870800955412|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,727|8|481|400|125|42|6|,50.09891352779438|77.73558632180192|134.45931881561046|192.9718079781261|255.5689427069751|300.5501714720265|333.5944514849884|,9.243234378680668|2.1783991574918478|2.842170943040401e-14|17.14848472226047|10.986861838910682|12.2644853578944|6.269941767159673|,0|735|481|400|125|42|6|,0|0|0|0|0|0|0|,0|124|44|74|22|2|0|,0|611|437|326|103|40|6|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|584|590|155|67|13|,0|0|0|0|0|0|0|,813|8|584|590|155|67|13|,91|0|95|161|18|15|3|,723|4|489|429|137|52|10|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
9,0|1|2|3|4|5|6|,678|448|246|141|76|41|59|,49.706100232630426|134.4593188156105|181.34298546680157|218.25988232814936|247.3287963277921|270.21809182552283|302.40801997927275|,10.3541966917544|0.0|8.526512829121202e-14|0.0|8.526512829121202e-14|5.684341886080802e-14|16.97946841893292|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,674|4|448|387|117|50|9|,49.532669045692074|78.92925523174415|134.4593188156105|194.79332773411429|255.34983150221052|296.6130133212909|334.602501412505|,10.13213460861122|3.8333923923127133|0.0|17.766068533143546|10.920569538064239|10.648878623947862|6.077653980031603|,0|678|448|387|117|50|9|,0|0|0|0|0|0|0|,0|51|22|28|8|15|2|,0|627|426|359|109|35|7|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|592|598|186|65|5|,0|0|0|0|0|0|0|,652|5|592|598|186|65|5|,0|0|36|177|33|10|0|,652|5|556|421|153|55|5|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
