Subpopulation,K,N_Initial,PopSizes_Mean,PopSizes_Std,ToTFemales,ToTMales,ToTYYMales,BreedFemales,BreedMales,BreedYYMales,Births,EggDeaths,MyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort,N_AfterEmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PackingDeaths_Immigration,N_AfterImmigration,Deaths_AfterImmiMort,N_AfterImmiMortality,SubpopEmigration,SubpopImmigration,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,Alleles,He,Ho
1,4980,46,193.9566132578878,49.818729739939556,21,25,0,4,4,0,24,15,24,0,0,0,0,30,0,30,0,0,0,0,45,0,45,13,35,24,2,0,20,24,20,268,0.8262332343145199,0.846790890269
2,5130,40,133.76609187142202,76.80061990044554,16,24,0,1,5,0,23,15,23,0,0,0,0,34,0,34,0,0,0,0,29,0,29,12,19,15,1,0,8,15,8,256,0.8093452380952383,0.84880952381
3,2667,18,214.14985329107859,51.82335628495361,9,9,0,2,4,0,55,35,55,0,0,0,0,13,0,13,0,0,0,0,51,0,51,12,30,6,0,0,12,6,12,215,0.8315696649029982,0.820105820106
4,2733,58,119.55020535673086,78.88435002574509,27,31,0,7,1,0,111,71,111,0,0,0,0,60,0,60,0,0,0,0,61,0,61,19,20,20,0,1,9,20,9,256,0.8066360908215844,0.823481116585
5,104,25,184.98026130274357,59.82131801267468,8,17,0,1,6,0,47,30,47,0,0,0,4,18,0,18,0,0,0,36,24,0,24,9,7,19,0,0,6,19,6,238,0.8312761904761906,0.864761904762
6,117,31,115.79627306028127,75.32737623117141,11,20,0,3,2,0,51,33,51,0,0,0,9,30,0,30,0,0,0,29,32,0,32,11,14,13,0,0,4,13,4,226,0.7920816609682373,0.84331797235
7,4785,74,131.41877109057975,82.79883508726978,35,39,0,6,2,0,89,58,89,0,0,0,0,57,0,57,0,0,0,0,61,0,61,19,28,21,0,4,17,21,17,278,0.8348464294410236,0.839124839125
8,4641,33,130.27977485496515,67.86948871241181,12,21,0,0,3,0,0,0,0,0,0,0,0,31,0,31,0,0,0,0,18,0,18,13,17,16,0,0,6,16,6,224,0.8144212689667238,0.864357864358
9,2045,42,117.44013249473004,74.30951789535656,18,24,0,2,2,0,52,34,52,0,0,0,0,43,0,43,0,0,0,0,41,0,41,15,23,16,0,1,5,16,5,243,0.8278668610301264,0.885487528345
10,543,88,91.26568803593022,70.96327734674995,40,48,0,1,2,0,40,26,40,0,0,0,0,80,0,80,0,0,0,0,34,0,34,10,15,10,1,0,14,10,14,256,0.8163678177882723,0.844696969697
