Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,N_BeforePacking_AddAge0s,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|6|,3211|3296|3332|3272|3315|3293|3381|,50.09700155714731|100.10689016990291|145.56736914765906|191.0777903422983|235.96322745098038|283.2588748861221|332.16344720496903|,10.166285713905177|10.269524721147171|13.628125076437483|21.60868706617248|30.887691578874012|38.53521288797332|39.56208757833314|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,3219|3570|3955|3530|3302|2748|2776|,50.101847778813294|101.5327537815126|149.93231479140326|198.68292889518415|249.79545124167174|300.04808114992716|350.01637067723345|,10.090696667382261|10.76110240091943|11.457102017789625|10.366659862572686|9.795600034857395|9.839997540208232|9.76080477219983|,0|3211|3296|6604|6608|3381|0|,0|0|0|0|0|0|0|,0|6|556|5380|6525|3265|0|,0|3205|2740|1224|83|116|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|3166|3274|646|159|0|,0|0|0|0|0|0|0|,51570|321|3166|3274|646|159|0|,20140|0|1921|2341|334|55|0|,31464|201|1245|933|312|104|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
1,0|1|2|3|4|5|6|,31035|1189|753|176|258|22|95|,50.010934533078625|134.4593188156105|181.34298546680154|218.25988232814933|247.3287963277922|270.2180918255227|298.3998558229079|,10.01537182577357|0.0|5.684341886080802e-14|2.842170943040401e-14|0.0|5.684341886080802e-14|6.401067349047697|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,30838|197|1189|929|280|95|0|,49.83085998560994|78.19945684190675|134.4593188156105|188.33692932858537|249.12724097404248|298.3998558229079|nan|,9.786994919732265|2.9269657898362835|0.0|14.466494166098025|6.158792722499072|6.401067349047697|nan|,0|31035|1189|929|280|95|0|,0|0|0|0|0|0|0|,0|21759|76|101|52|16|0|,0|9276|1113|828|228|79|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|9056|1688|348|91|0|,0|0|0|0|0|0|0|,1388|9|9056|1688|348|91|0|,0|0|6744|995|108|22|0|,1384|13|2312|693|240|69|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
2,0|1|2|3|4|5|6|,1329|2310|425|242|90|126|64|,49.64182762887066|134.45931881561046|181.34298546680154|218.25988232814927|247.32879632779213|270.2180918255228|306.05823515802|,10.128081984282455|2.842170943040401e-14|5.684341886080802e-14|8.526512829121202e-14|5.684341886080802e-14|0.0|9.740036084801135|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,1318|11|2310|667|216|64|0|,49.40443856244622|78.08535395136234|134.45931881561046|194.73712195922454|260.68088536813497|306.05823515802|nan|,9.827153684464268|2.51222102017488|2.842170943040401e-14|17.750128536434293|11.284574861959747|9.740036084801135|nan|,0|1329|2310|667|216|64|0|,0|0|0|0|0|0|0|,0|0|234|40|31|7|0|,0|1329|2076|627|185|57|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|1276|2383|280|147|0|,0|0|0|0|0|0|0|,991|5|1276|2383|280|147|0|,0|0|430|1561|52|53|0|,985|11|846|822|228|94|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
3,0|1|2|3|4|5|6|,943|772|661|144|157|56|84|,50.417141584639026|134.4593188156105|181.34298546680154|218.25988232814936|247.3287963277921|270.2180918255228|297.7721289907463|,9.74100930944617|0.0|5.684341886080802e-14|0.0|8.526512829121202e-14|0.0|13.902717639332325|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,933|10|772|805|213|84|0|,50.12167549262919|77.98412796915639|134.4593188156105|187.94675335255812|253.34663927555226|297.7721289907463|nan|,9.360022492111062|2.402088444073898|0.0|14.148528815598054|10.076197285995825|13.902717639332325|nan|,0|943|772|805|213|84|0|,0|0|0|0|0|0|0|,0|39|43|146|23|27|0|,0|904|729|659|190|57|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|864|1162|241|92|8|,0|0|0|0|0|0|0|,1276|7|864|1162|241|92|8|,26|0|160|594|59|16|1|,1251|6|704|568|182|76|7|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
4,0|1|2|3|4|5|6|,1207|638|299|233|79|81|71|,49.89380220064528|134.4593188156105|181.3429854668015|218.25988232814927|247.32879632779205|270.2180918255227|298.6850700635816|,10.081895835053256|0.0|2.842170943040401e-14|8.526512829121202e-14|1.4210854715202004e-13|5.684341886080802e-14|11.772490265510012|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,1201|6|638|532|160|66|5|,49.75682503898698|77.31206405924961|134.4593188156105|197.5114760094595|258.91650217351827|296.3630161932106|329.3361811524784|,9.918270792269617|1.0857762031566272|0.0|18.315851368117258|11.44375360083089|8.516185757100658|0.0|,0|1207|638|532|160|66|5|,0|0|0|0|0|0|0|,0|18|59|85|25|16|1|,0|1189|579|447|135|50|4|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|1150|772|245|109|4|,0|0|0|0|0|0|0|,1117|7|1150|772|245|109|4|,51|0|367|298|69|30|0|,1064|9|783|474|176|79|4|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
5,0|1|2|3|4|5|6|,1019|723|294|133|113|36|78|,50.35905748248434|134.4593188156105|181.3429854668015|218.25988232814936|247.32879632779216|270.21809182552283|296.1564889952053|,9.808052555415214|0.0|2.842170943040401e-14|0.0|2.842170943040401e-14|5.684341886080802e-14|12.148783763615517|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,1010|9|723|427|149|75|3|,50.11391894811524|77.86904856168297|134.4593188156105|192.8416910465656|252.85909591113648|294.61107147097573|334.7919271009448|,9.49837161137982|1.900605759192196|0.0|17.096090135380617|9.79798182650927|9.560359113725728|0.0|,0|1019|723|427|149|75|3|,0|0|0|0|0|0|0|,0|79|83|54|18|10|0|,0|940|640|373|131|65|3|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|884|835|196|86|2|,0|0|0|0|0|0|0|,802|5|884|835|196|86|2|,0|0|189|302|30|15|1|,805|2|695|533|166|71|1|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
6,0|1|2|3|4|5|6|,773|621|332|151|80|69|63|,50.25703573340004|134.4593188156105|181.34298546680154|218.25988232814936|247.3287963277922|270.2180918255227|301.9708032460591|,9.83455803519928|0.0|5.684341886080802e-14|0.0|0.0|5.684341886080802e-14|11.96899370003908|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,771|2|621|483|149|62|1|,50.18302028955711|78.7899893348485|134.4593188156105|192.8842927671401|257.92853719586867|301.3721409975244|339.0878626552117|,9.737580978959647|3.489251995355829|0.0|17.113371294133483|11.41341729975748|11.090014660569294|0.0|,0|773|621|483|149|62|1|,0|0|0|0|0|0|0|,0|36|74|55|27|13|1|,0|737|547|428|122|49|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|709|763|171|98|4|,0|0|0|0|0|0|0|,791|5|709|763|171|98|4|,0|0|100|315|48|28|1|,794|2|609|448|123|70|3|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
7,0|1|2|3|4|5|6|,759|541|263|151|81|31|67|,50.020877122062394|134.4593188156105|181.34298546680154|218.25988232814936|247.32879632779216|270.2180918255228|298.8632660304033|,10.19407109070815|0.0|5.684341886080802e-14|0.0|2.842170943040401e-14|0.0|13.152269612856806|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,757|2|541|414|112|64|3|,49.95360323141212|75.48404473318797|134.4593188156105|194.80784398386314|253.66422633162827|297.434848134056|329.3361811524784|,10.123030752811273|0.3674370764423429|0.0|17.770154142339877|10.240891373776341|11.641404614757091|0.0|,0|759|541|414|112|64|3|,0|0|0|0|0|0|0|,0|21|21|16|12|11|1|,0|738|520|398|100|53|2|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|703|713|200|70|3|,0|0|0|0|0|0|0|,690|5|703|713|200|70|3|,0|0|55|249|41|18|0|,693|2|648|464|159|52|3|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
8,0|1|2|3|4|5|6|,674|580|280|140|92|49|50|,50.18159804941849|134.4593188156105|181.34298546680154|218.25988232814936|247.3287963277921|270.21809182552283|304.72880714216865|,10.196228268807943|0.0|5.684341886080802e-14|0.0|8.526512829121202e-14|5.684341886080802e-14|14.742164092305616|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,672|2|580|420|141|47|3|,50.098077540615556|78.24448900720418|134.4593188156105|193.64861775391742|255.28323235182617|302.9259642926396|332.97334511812267|,10.095601850934042|0.41211474177885776|0.0|17.40279207401564|10.899467152639062|13.289496330084006|2.571863304394423|,0|674|580|420|141|47|3|,0|0|0|0|0|0|0|,0|0|48|50|16|5|0|,0|674|532|370|125|42|3|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|663|707|192|70|9|,0|0|0|0|0|0|0|,811|4|663|707|192|70|9|,17|0|62|187|26|10|1|,793|4|601|520|166|60|8|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
9,0|1|2|3|4|5|6|,747|533|331|150|90|62|63|,49.63144716467319|134.4593188156105|181.3429854668015|218.25988232814936|247.32879632779213|270.21809182552283|300.95503347655153|,10.234089242040886|0.0|2.842170943040401e-14|0.0|5.684341886080802e-14|5.684341886080802e-14|15.411785601874369|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,743|4|533|481|152|56|7|,49.47392808712201|78.89061581980505|134.4593188156105|192.85553126555862|256.66521949134017|297.1358288125751|331.508670788364|,10.03228282652765|1.9299455637250373|0.0|17.101717898965017|11.248793321662157|11.588654878042135|3.6218084957408534|,0|747|533|481|152|56|7|,0|0|0|0|0|0|0|,0|34|30|73|15|10|3|,0|713|503|408|137|46|4|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|683|720|182|96|7|,0|0|0|0|0|0|0|,799|4|683|720|182|96|7|,17|0|83|210|23|22|1|,778|7|600|510|159|74|6|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
