Subpopulation,K,N_Initial,PopSizes_Mean,PopSizes_Std,ToTFemales,ToTMales,ToTYYMales,BreedFemales,BreedMales,BreedYYMales,Births,EggDeaths,MyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort,N_AfterEmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PackingDeaths_Immigration,N_AfterImmigration,Deaths_AfterImmiMort,N_AfterImmiMortality,SubpopEmigration,SubpopImmigration,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,Alleles,He,Ho
1,4613,60,130.85499095734664,78.62201830618159,28,32,0,3,5,0,13,8,13,0,0,0,0,51,0,51,0,0,0,0,40,0,40,20,34,19,0,0,15,19,15,381,0.8866534391534391,0.930158730159
2,4996,28,171.735762241846,37.84442870870473,13,15,0,2,0,0,43,26,43,0,0,0,0,24,0,24,0,0,0,0,42,0,42,11,24,20,1,2,5,20,5,348,0.895286686103013,0.914965986395
3,2974,40,174.2491346212293,66.63973413469996,15,25,0,3,6,0,33,20,33,0,0,0,0,33,0,33,0,0,0,0,43,0,43,16,29,21,2,1,12,21,12,377,0.9025297619047618,0.930952380952
4,3035,51,157.04967660278345,72.88630271088432,24,27,0,2,5,0,29,18,29,0,0,0,0,42,0,42,0,0,0,0,47,0,47,20,31,19,5,1,14,19,14,384,0.9019516303253329,0.925303454715
5,199,61,120.63944363529356,71.86393034931926,29,32,0,1,3,0,0,0,0,0,0,0,0,56,0,56,0,0,0,0,33,0,33,18,28,20,2,0,12,20,12,383,0.8992078422339108,0.904761904762
6,180,15,158.8853158141396,39.2630721867622,8,7,0,2,0,0,25,15,25,0,0,0,0,20,0,20,0,0,0,0,35,0,35,16,25,11,0,0,4,11,4,291,0.8843386243386245,0.92380952381
7,2828,88,130.2881996793165,80.3359144100337,45,43,0,4,9,0,163,100,163,0,0,0,0,80,0,80,0,0,0,0,102,0,102,22,35,21,3,1,24,21,24,390,0.9009402056277055,0.914502164502
8,1329,21,180.37279500124623,49.04952566845744,11,10,0,1,3,0,47,29,47,0,0,0,0,24,0,24,0,0,0,0,43,0,43,17,25,14,0,0,7,14,7,337,0.8911564625850341,0.916099773243
9,4018,83,103.09974453828023,71.65087874043155,43,40,0,0,4,0,0,0,0,0,0,0,0,76,0,76,0,0,0,0,34,0,34,16,32,16,1,1,15,16,15,378,0.872816567474718,0.946643717728
10,2595,39,160.05354245548833,59.47830389895854,20,19,0,1,2,0,0,0,0,0,0,0,0,32,0,32,0,0,0,0,38,0,38,17,38,17,1,0,15,17,15,377,0.905607213299521,0.918192918193
11,286,52,126.45659851666895,73.28930100247773,27,25,0,0,5,0,0,0,0,0,0,0,0,53,0,53,0,0,0,0,30,0,30,22,26,17,0,0,13,17,13,373,0.8869399830938294,0.916666666667
12,139,38,185.33190829116822,54.20661749606536,19,19,0,5,3,0,80,49,80,0,0,0,0,20,0,20,0,0,0,0,51,0,51,8,18,19,1,0,18,19,18,376,0.9022886162775363,0.899749373434
13,137,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0.0,0.0
14,122,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0.0,0.0
15,156,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0.0,0.0
16,77,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.0,0.0
17,35,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.0
18,35,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0
19,420,49,152.4258418475274,76.54699510501231,28,21,0,6,2,0,102,63,102,0,0,0,0,38,0,38,0,0,0,0,72,0,72,13,30,21,0,0,13,21,13,381,0.8963824596894151,0.915451895044
20,445,38,183.66159116375042,49.12547543158766,21,17,0,4,1,0,181,112,181,0,0,0,0,31,0,31,0,0,0,0,94,0,94,18,23,22,2,0,14,22,14,380,0.9064107637514844,0.912280701754
21,197,22,179.3425449477991,52.50632573146668,11,11,0,2,1,0,80,50,80,0,0,0,0,21,0,21,0,0,0,5,58,0,58,13,27,15,0,0,7,15,7,333,0.8946280991735536,0.917748917749
22,230,15,189.09506744137423,49.89107176285024,7,8,0,3,1,0,39,24,39,0,0,0,0,9,0,9,0,0,0,0,34,0,34,5,18,7,0,0,8,7,8,300,0.8845502645502648,0.926984126984
23,158,70,84.92241875860154,59.764216130952704,36,34,0,1,3,0,27,17,27,0,0,0,0,70,0,70,0,0,0,21,26,0,26,13,16,15,0,1,4,15,4,369,0.8903741496598643,0.914965986395
