Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,N_BeforePacking_AddAge0s,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|6|,3149|3238|3273|3331|3288|3395|3426|,49.88283105747857|99.83562476837555|145.33610021387105|190.83372380666466|236.39131751824817|281.8738265095729|331.2193485113835|,9.926581995069306|9.979532466280714|13.87014743545246|21.844806292112747|30.379552805716838|39.82519320740716|40.186691946784656|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,3155|3519|3895|3638|3327|2785|2781|,49.88984215530903|101.28317931230464|149.7872300385109|198.74426250687193|249.86920228434025|300.10386140035905|349.9819564904711|,9.871689999637148|10.616270221972112|11.574724652978508|10.51579137834587|9.653753816048265|9.746817788929505|9.737717845530918|,0|3149|3238|6604|6683|3426|0|,0|0|0|0|0|0|0|,0|0|641|5569|6512|3371|0|,0|3149|2597|1035|171|55|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|3118|3035|574|145|0|,0|0|0|0|0|0|0|,50770|307|3118|3035|574|145|0|,22068|0|1753|2044|255|44|0|,28809|193|1365|991|319|101|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
1,0|1|2|3|4|5|6|,28345|1288|790|184|256|40|89|,50.06903890963274|134.4593188156105|181.3429854668015|218.2598823281493|247.32879632779216|270.2180918255228|293.66307749559326|,9.929002723288848|0.0|2.842170943040401e-14|5.684341886080802e-14|2.842170943040401e-14|0.0|6.895574582265485|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,28155|190|1288|974|296|89|0|,49.8788070143193|78.25840213357897|134.4593188156105|188.31701937079328|250.42194436802606|293.66307749559326|nan|,9.684924252093513|2.8266906378272902|0.0|14.450693459041382|7.825114357780119|6.895574582265485|nan|,0|28345|1288|974|296|89|0|,0|0|0|0|0|0|0|,0|20147|65|110|38|16|0|,0|8198|1223|864|258|73|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|7953|1809|357|98|0|,0|0|0|0|0|0|0|,1445|13|7953|1809|357|98|0|,0|0|5866|1027|101|31|0|,1451|7|2087|782|256|67|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
2,0|1|2|3|4|5|6|,1384|2085|444|283|104|122|60|,50.137487420424385|134.45931881561046|181.3429854668015|218.25988232814936|247.32879632779216|270.2180918255227|301.2414266431309|,9.791707170583251|2.842170943040401e-14|2.842170943040401e-14|0.0|2.842170943040401e-14|5.684341886080802e-14|10.259654734187137|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,1379|5|2085|727|226|60|0|,50.035004377120295|78.40231076369425|134.45931881561046|195.71366196165903|259.6849646938237|301.2414266431309|nan|,9.659031366264085|2.412839400264139|2.842170943040401e-14|18.000123307038795|11.40829050559672|10.259654734187137|nan|,0|1384|2085|727|226|60|0|,0|0|0|0|0|0|0|,0|6|243|44|35|6|0|,0|1378|1842|683|191|54|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|1315|2149|328|139|0|,0|0|0|0|0|0|0|,1077|8|1315|2149|328|139|0|,9|0|421|1388|91|41|0|,1070|6|894|761|237|98|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
3,0|1|2|3|4|5|6|,981|796|595|134|152|54|87|,50.360763485188414|134.4593188156105|181.3429854668015|218.25988232814936|247.32879632779222|270.2180918255229|297.96016615810674|,10.031661393399396|0.0|2.842170943040401e-14|0.0|2.842170943040401e-14|1.1368683772161603e-13|13.633556791880856|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,975|6|796|729|206|87|0|,50.190563887736346|78.01819807114914|134.4593188156105|188.1288073864457|253.32890291457588|297.96016615810674|nan|,9.822672037014856|2.2938433959883033|0.0|14.299094684694369|10.06662473870995|13.633556791880856|nan|,0|981|796|729|206|87|0|,0|0|0|0|0|0|0|,0|9|26|112|36|21|0|,0|972|770|617|170|66|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|902|1166|225|88|10|,0|0|0|0|0|0|0|,934|7|902|1166|225|88|10|,0|0|158|570|23|28|2|,933|8|744|596|202|60|8|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
4,0|1|2|3|4|5|6|,883|667|335|211|83|99|64|,49.728657743644185|134.4593188156105|181.34298546680154|218.25988232814927|247.32879632779213|270.21809182552266|302.9548994272102|,9.830178172336467|0.0|5.684341886080802e-14|8.526512829121202e-14|5.684341886080802e-14|1.1368683772161603e-13|14.196971634350856|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,875|8|667|546|182|56|8|,49.46871055185081|78.16038184604442|134.4593188156105|195.60940531615023|259.7795669556785|299.186144895029|329.3361811524784|,9.485448189674724|3.0284249883418197|0.0|17.976129028275295|11.400336786600548|10.803672842124941|0.0|,0|883|667|546|182|56|8|,0|0|0|0|0|0|0|,0|2|70|106|16|10|3|,0|881|597|440|166|46|5|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|835|800|227|119|9|,0|0|0|0|0|0|0|,803|5|835|800|227|119|9|,32|0|207|338|60|44|1|,771|6|628|462|167|75|8|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
5,0|1|2|3|4|5|6|,704|560|290|128|111|40|73|,50.15850225901477|134.4593188156105|181.3429854668015|218.25988232814927|247.32879632779208|270.2180918255228|298.7744299811536|,9.691456527164993|0.0|2.842170943040401e-14|8.526512829121202e-14|1.1368683772161603e-13|0.0|15.590610162395976|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,698|6|560|418|151|65|8|,49.925579065355656|77.25523378802366|134.4593188156105|192.6476811564008|253.39218586361477|294.6772454709311|332.0640541267116|,9.398730860048525|1.8634729242922827|0.0|17.01582029134702|10.100595137919782|10.903512030733483|2.7278729742332075|,0|704|560|418|151|65|8|,0|0|0|0|0|0|0|,0|36|7|15|9|13|0|,0|668|553|403|142|52|8|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|615|758|206|81|8|,0|0|0|0|0|0|0|,969|3|615|758|206|81|8|,0|0|52|195|37|11|2|,965|7|563|563|169|70|6|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
6,0|1|2|3|4|5|6|,906|519|346|171|79|69|63|,49.98899960366337|134.45931881561052|181.3429854668015|218.2598823281493|247.32879632779205|270.2180918255227|301.34037278446334|,10.193344330291474|2.842170943040401e-14|2.842170943040401e-14|5.684341886080802e-14|1.4210854715202004e-13|5.684341886080802e-14|13.908066251528577|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,899|7|519|517|148|59|4|,49.773218598674994|77.70144581574185|134.45931881561052|193.55340976716994|258.00015706659894|299.01931613317544|335.57595839096166|,9.933475379970641|1.2920107993962193|2.842170943040401e-14|17.368837408847188|11.418493302344327|10.982260458408309|4.006758920004264|,0|906|519|517|148|59|4|,0|0|0|0|0|0|0|,0|83|23|96|27|10|0|,0|823|496|421|121|49|4|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|777|723|187|93|8|,0|0|0|0|0|0|0|,907|15|777|723|187|93|8|,22|0|107|261|46|32|0|,892|8|670|462|141|61|8|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
7,0|1|2|3|4|5|6|,864|599|267|158|78|44|63|,50.646496474365826|134.4593188156105|181.3429854668015|218.2598823281493|247.32879632779208|270.21809182552283|300.383138510465|,10.157286729329266|0.0|2.842170943040401e-14|5.684341886080802e-14|1.1368683772161603e-13|5.684341886080802e-14|15.709448811115138|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,856|8|599|425|122|56|7|,50.39920467718356|77.10671877286876|134.4593188156105|195.06738477054964|255.583952081072|296.0233625081607|335.2613465289004|,9.873706551850162|2.0701992836089276|0.0|17.841050903231636|10.991228452984863|10.127387571176055|5.658501259833345|,0|864|599|425|122|56|7|,0|0|0|0|0|0|0|,0|39|73|47|6|9|0|,0|825|526|378|116|47|7|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|788|699|193|85|8|,0|0|0|0|0|0|0|,793|5|788|699|193|85|8|,3|0|167|201|32|13|3|,789|5|621|498|161|72|5|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
8,0|1|2|3|4|5|6|,739|555|310|137|93|53|72|,49.74939078699581|134.4593188156105|181.3429854668015|218.25988232814936|247.3287963277921|270.2180918255229|301.2746733531621|,9.63211619937321|0.0|2.842170943040401e-14|0.0|8.526512829121202e-14|1.1368683772161603e-13|14.544686088439166|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,734|5|555|447|146|67|5|,49.55689026459686|78.00846747516054|134.4593188156105|192.65756012005576|255.63792414546154|298.4646635348541|338.92880491848894|,9.376452593347814|1.4767833448490515|0.0|17.01997020914387|11.006746878922955|10.569517296016064|5.066619890610833|,0|739|555|447|146|67|5|,0|0|0|0|0|0|0|,0|57|28|55|15|12|1|,0|682|527|392|131|55|4|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|647|737|186|87|5|,0|0|0|0|0|0|0|,863|13|647|737|186|87|5|,20|0|74|284|39|30|0|,845|11|573|453|147|57|5|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
9,0|1|2|3|4|5|6|,780|517|266|154|79|59|57|,50.661030649779626|134.4593188156105|181.34298546680154|218.25988232814936|247.32879632779205|270.21809182552283|300.9659642795773|,10.082366635067194|0.0|5.684341886080802e-14|0.0|1.4210854715202004e-13|5.684341886080802e-14|15.10998691378495|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,769|11|517|420|138|52|5|,50.27846231584043|77.40603508607445|134.4593188156105|194.87918098262904|257.11479947537265|297.67546180125606|335.1871900541184|,9.625472146365093|2.3699547330614767|0.0|17.79004622563234|11.323818268686411|11.164130576272997|4.77732876316675|,0|780|517|420|138|52|5|,0|0|0|0|0|0|0|,0|19|34|59|23|16|1|,0|761|483|361|115|36|4|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|719|651|189|71|6|,0|0|0|0|0|0|0|,869|4|719|651|189|71|6|,45|0|121|194|31|16|1|,816|11|598|457|158|55|5|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
