Subpopulation,K,N_Initial,PopSizes_Mean,PopSizes_Std,ToTFemales,ToTMales,ToTYYMales,BreedFemales,BreedMales,BreedYYMales,Births,EggDeaths,MyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort,N_AfterEmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PackingDeaths_Immigration,N_AfterImmigration,Deaths_AfterImmiMort,N_AfterImmiMortality,SubpopEmigration,SubpopImmigration,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,Alleles,He,Ho
1,4359,28,194.89435657053693,59.719658708620756,16,12,0,7,2,0,261,159,261,0,0,0,0,20,0,20,0,0,0,0,134,0,134,8,32,18,0,1,9,18,9,329,0.8927660349854231,0.928571428571
2,4180,83,107.27495580398086,78.54334214709834,39,44,0,5,3,0,98,60,98,0,0,0,0,74,0,74,0,0,0,0,78,0,78,11,37,19,2,1,11,19,11,356,0.8583041287352506,0.889845094664
3,3004,112,85.72241970532728,61.13469138292612,48,64,0,2,0,0,0,0,0,0,0,0,0,111,0,111,0,0,0,0,36,0,36,14,33,23,1,0,8,23,8,360,0.8655893160835761,0.902210884354
4,2959,48,131.37814414517615,84.86853261775696,25,23,0,4,4,0,71,43,71,0,0,0,0,49,0,49,0,0,0,0,71,0,71,18,41,13,1,0,13,13,13,338,0.8492476851851851,0.89880952381
5,158,94,63.11947047916668,37.471234229134616,41,53,0,1,0,0,20,12,20,0,0,0,50,53,0,53,0,0,0,27,27,0,27,14,19,13,0,1,0,13,0,296,0.8403042747203,0.896149949341
6,187,4,162.67668819365593,48.873917418712885,1,3,0,0,1,0,0,0,0,0,0,0,0,18,0,18,0,0,0,18,26,0,26,16,26,3,0,1,0,3,0,121,0.78125,0.880952380952
7,2365,36,176.5799765310909,44.74587548925364,21,15,0,3,1,0,34,21,34,0,0,0,0,26,0,26,0,0,0,0,63,0,63,9,49,25,1,2,8,25,8,343,0.8928571428571428,0.890211640212
8,2336,53,124.52879519946792,70.21487387863942,21,32,0,2,1,0,115,70,115,0,0,0,0,46,0,46,0,0,0,0,71,0,71,10,23,21,0,1,10,21,10,352,0.8613300784892102,0.903863432165
9,1986,63,132.39127460353015,75.37102838180907,32,31,0,4,2,0,57,35,57,0,0,0,0,42,0,42,0,0,0,0,57,0,57,9,35,23,0,2,15,23,15,356,0.8662971361384062,0.902494331066
10,3539,107,100.7720854297387,67.45020958828245,46,61,0,3,4,0,74,45,74,0,0,0,0,93,0,93,0,0,0,0,64,0,64,11,32,31,1,1,10,31,10,374,0.8857770901180804,0.93769470405
11,175,50,139.65673204158543,77.49349676054673,27,23,0,4,3,0,24,15,24,0,0,0,0,40,0,40,0,0,0,31,32,0,32,16,23,20,1,0,11,20,11,353,0.8832190476190477,0.915238095238
12,294,56,124.47047455683294,78.97002872918947,25,31,0,4,2,0,26,16,26,0,0,0,0,47,0,47,0,0,0,0,44,0,44,9,33,22,1,1,8,22,8,348,0.8847940962099128,0.915816326531
13,58,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,15,7,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.0,0.0
14,103,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0.0,0.0
