Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,N_BeforePacking_AddAge0s,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|6|,3163|3215|3402|3369|3345|3325|3281|,50.443786278849196|99.77163297045101|148.91999353321575|197.14000474918373|246.25002391629297|294.79440992481204|344.4038338921061|,10.262278378725398|9.870459432912268|11.159109983098588|15.258662712537584|19.445065065991777|24.30782880604192|25.214929657413396|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,3154|3307|3600|3438|3343|3157|3101|,50.33801109701966|100.14378893256729|150.16718222222224|199.5657047702152|250.124037690697|299.87655622426354|350.0391551112545|,10.10545681596302|10.083485300233379|10.149815088196082|10.094716503960337|9.614865647188015|9.924547336659217|9.960078472828682|,0|3163|3215|6771|6670|3281|0|,0|0|0|0|0|0|0|,0|0|712|5681|6604|3232|0|,0|3163|2503|1090|66|49|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|3126|2947|586|80|0|,0|0|0|0|0|0|0|,52910|332|3126|2947|586|80|0|,24385|0|1956|2167|265|13|0|,28585|196|1170|780|321|67|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
1,0|1|2|3|4|5|6|,28168|1130|620|159|293|12|60|,50.06517037471468|134.4593188156105|181.3429854668015|218.25988232814927|247.32879632779213|270.2180918255227|297.93924245674185|,10.011650018593993|0.0|2.842170943040401e-14|8.526512829121202e-14|5.684341886080802e-14|5.684341886080802e-14|6.601720629353096|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,27974|194|1130|779|305|60|0|,49.86918235707549|78.32583432027462|134.4593188156105|188.87801319588277|248.2293587736045|297.93924245674185|nan|,9.760564432455846|3.4485198555510865|0.0|14.879287571784682|4.449969350181006|6.601720629353096|nan|,0|28168|1130|779|305|60|0|,0|0|0|0|0|0|0|,0|20328|77|116|67|12|0|,0|7840|1053|663|238|48|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|7593|1504|328|50|0|,0|0|0|0|0|0|0|,1435|15|7593|1504|328|50|0|,0|0|5599|863|87|6|0|,1440|10|1994|641|241|44|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
2,0|1|2|3|4|5|6|,1383|1993|389|219|80|133|39|,50.45603165883466|134.4593188156105|181.3429854668015|218.25988232814927|247.3287963277922|270.2180918255228|307.49072014051893|,9.919313746737586|0.0|2.842170943040401e-14|8.526512829121202e-14|0.0|0.0|8.780242649318987|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,1374|9|1993|608|213|39|0|,50.27409322298687|78.23196619826449|134.4593188156105|194.64035456653042|261.6211733287225|307.49072014051893|nan|,9.691759883011509|1.7672785744804136|0.0|17.72223401852998|11.08469215641735|8.780242649318987|nan|,0|1383|1993|608|213|39|0|,0|0|0|0|0|0|0|,0|60|207|85|34|1|0|,0|1323|1786|523|179|38|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|1270|2015|228|141|0|,0|0|0|0|0|0|0|,1036|5|1270|2015|228|141|0|,28|0|348|1315|43|50|0|,1008|5|922|700|185|91|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
3,0|1|2|3|4|5|6|,945|834|582|98|120|41|80|,50.15710164340196|134.45931881561046|181.3429854668015|218.25988232814927|247.32879632779216|270.21809182552283|294.6972436362096|,10.027387811807342|2.842170943040401e-14|2.842170943040401e-14|8.526512829121202e-14|2.842170943040401e-14|5.684341886080802e-14|12.164583758763607|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,941|4|834|680|161|80|0|,50.045771051631434|76.34762335742047|134.45931881561046|186.66336177917222|253.15774735516453|294.6972436362096|nan|,9.90169792916118|0.9814982390229099|2.842170943040401e-14|12.965545861324657|9.972156859367047|12.164583758763607|nan|,0|945|834|680|161|80|0|,0|0|0|0|0|0|0|,0|92|101|109|18|25|0|,0|853|733|571|143|55|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|806|1137|177|72|5|,0|0|0|0|0|0|0|,801|7|806|1137|177|72|5|,31|0|205|611|36|12|3|,771|6|601|526|141|60|2|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
4,0|1|2|3|4|5|6|,744|549|307|188|58|66|60|,49.68260215834288|134.4593188156105|181.3429854668015|218.25988232814927|247.3287963277922|270.2180918255227|299.074835713033|,10.435368975789423|0.0|2.842170943040401e-14|8.526512829121202e-14|0.0|5.684341886080802e-14|10.586900024834485|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,738|6|549|495|124|58|2|,49.45301724446967|77.92154656474906|134.4593188156105|195.3639483151518|259.5118084475519|298.0313410427073|329.3361811524784|,10.15836712611876|2.5747964680524595|0.0|17.917115844201017|11.420804706823462|9.125838617273|0.0|,0|744|549|495|124|58|2|,0|0|0|0|0|0|0|,0|23|26|73|15|13|0|,0|721|523|422|109|45|2|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|692|730|188|96|3|,0|0|0|0|0|0|0|,695|3|692|730|188|96|3|,83|0|89|243|43|27|0|,611|5|603|487|145|69|3|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
5,0|1|2|3|4|5|6|,574|542|284|140|104|31|65|,49.927780053941355|134.4593188156105|181.3429854668015|218.25988232814936|247.32879632779216|270.2180918255228|299.2591342872638|,9.953151451273769|0.0|2.842170943040401e-14|0.0|2.842170943040401e-14|0.0|13.364332488538908|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,569|5|542|424|135|62|3|,49.65916495983077|80.4961777637267|134.4593188156105|193.53252688328428|252.58485677541913|297.62780150512543|332.97334511812267|,9.571085992172359|2.307039993126629|0.0|17.361311105883516|9.627115316155711|11.369572519913087|2.571863304394423|,0|574|542|424|135|62|3|,0|0|0|0|0|0|0|,0|45|67|68|11|18|2|,0|529|475|356|124|44|1|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|496|663|182|67|2|,0|0|0|0|0|0|0|,762|6|496|663|182|67|2|,0|0|62|232|46|19|0|,765|3|434|431|136|48|2|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
6,0|1|2|3|4|5|6|,704|395|240|134|63|57|45|,49.83456403331834|134.4593188156105|181.34298546680154|218.25988232814936|247.32879632779222|270.21809182552283|301.78284454922624|,10.158068930445715|0.0|5.684341886080802e-14|0.0|2.842170943040401e-14|5.684341886080802e-14|13.43401304541921|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,701|3|395|374|120|43|2|,49.68817792385277|84.04011827843746|134.4593188156105|194.56989503744492|258.2012116892142|300.37441619678503|332.0640541267116|,9.916689419860424|7.77320167545007|0.0|17.70156263226044|11.43033298685425|11.995336376327572|2.7278729742332075|,0|704|395|374|120|43|2|,0|0|0|0|0|0|0|,0|22|32|53|23|8|0|,0|682|363|321|97|35|2|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|640|512|150|72|6|,0|0|0|0|0|0|0|,783|4|640|512|150|72|6|,47|0|100|121|31|20|0|,735|5|540|391|119|52|6|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
7,0|1|2|3|4|5|6|,697|477|223|127|66|34|55|,50.08688499263864|134.45931881561046|181.34298546680157|218.2598823281492|247.32879632779216|270.21809182552283|301.1778686037591|,10.042687119194122|2.842170943040401e-14|8.526512829121202e-14|1.7053025658242404e-13|2.842170943040401e-14|5.684341886080802e-14|15.306070647623168|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,692|5|477|350|100|49|6|,49.88629805475379|77.84811719590098|134.45931881561046|194.738545185062|255.11115679702053|297.4195563028712|331.87075239434495|,9.795145769007602|2.059045307694415|2.842170943040401e-14|17.750534537122142|10.842860045994193|11.477052020208133|3.7928913268634346|,0|697|477|350|100|49|6|,0|0|0|0|0|0|0|,0|8|22|26|12|3|2|,0|689|455|324|88|46|4|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|661|606|152|71|5|,0|0|0|0|0|0|0|,549|4|661|606|152|71|5|,0|0|71|162|31|20|3|,548|5|590|444|121|51|2|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
8,0|1|2|3|4|5|6|,504|510|279|133|69|40|46|,50.00434537459485|134.45931881561052|181.3429854668015|218.25988232814936|247.32879632779213|270.2180918255228|303.7822730551452|,10.264545500177228|2.842170943040401e-14|2.842170943040401e-14|0.0|5.684341886080802e-14|0.0|13.612978091275526|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,500|4|510|412|109|44|2|,49.78317805738103|77.65026002632308|134.45931881561052|193.26033324000358|255.7285377948492|302.4967375518922|332.0640541267116|,9.998027854644297|3.1609480365529357|2.842170943040401e-14|17.260600240335524|11.032157895471421|12.465489274220076|2.7278729742332075|,0|504|510|412|109|44|2|,0|0|0|0|0|0|0|,0|75|66|109|21|5|0|,0|429|444|303|88|39|2|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|395|603|143|57|9|,0|0|0|0|0|0|0|,594|3|395|603|143|57|9|,24|0|30|218|25|15|4|,572|1|365|385|118|42|5|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
9,0|1|2|3|4|5|6|,545|328|243|109|64|45|44|,49.811153319456544|134.4593188156105|181.34298546680154|218.25988232814922|247.32879632779216|270.2180918255229|303.96430294546644|,9.515743724478732|0.0|5.684341886080802e-14|1.4210854715202004e-13|2.842170943040401e-14|1.1368683772161603e-13|15.10187279581892|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,544|1|328|352|109|39|5|,49.74909031409779|83.57342823461455|134.4593188156105|192.77463818807112|256.77850547823135|300.57160712537603|330.4273303421716|,9.413638490403022|0.0|0.0|17.068639680013952|11.269435748258086|12.466110457034386|2.182298379386566|,0|545|328|352|109|39|5|,0|0|0|0|0|0|0|,0|23|4|36|8|2|1|,0|522|324|316|101|37|4|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|512|498|147|69|5|,0|0|0|0|0|0|0|,458|5|512|498|147|69|5|,8|0|61|101|18|18|0|,451|4|451|397|129|51|5|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
