Subpopulation,K,N_Initial,PopSizes_Mean,PopSizes_Std,ToTFemales,ToTMales,ToTYYMales,BreedFemales,BreedMales,BreedYYMales,Births,EggDeaths,MyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort,N_AfterEmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PackingDeaths_Immigration,N_AfterImmigration,Deaths_AfterImmiMort,N_AfterImmiMortality,SubpopEmigration,SubpopImmigration,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,Alleles,He,Ho
1,5445,51,143.46944232912205,76.51981770275154,28,23,0,4,3,0,114,70,114,0,0,0,0,37,0,37,0,0,0,0,80,0,80,9,35,19,0,0,16,19,16,315,0.8728144852712328,0.896358543417
2,4764,22,195.0240295037287,54.894462151923605,14,8,0,4,2,0,114,70,114,0,0,0,0,14,0,14,0,0,0,0,66,0,66,8,21,12,0,1,9,12,9,288,0.8778040141676503,0.91341991342
3,2426,28,169.19825006073924,57.154725226899345,13,15,0,1,3,0,0,0,0,0,0,0,0,28,0,28,0,0,0,0,33,0,33,15,31,15,0,0,10,15,10,305,0.8742711370262393,0.896258503401
4,2557,85,92.23920084507412,69.15916814209596,44,41,0,2,4,0,5,3,5,0,0,0,0,72,0,72,0,0,0,0,26,0,26,9,21,16,1,1,10,16,10,321,0.8569649036085025,0.89299719888
5,198,29,186.3602018631185,52.463983130161715,14,15,0,3,3,0,40,25,40,0,0,0,0,24,0,24,0,0,0,5,46,0,46,16,31,14,1,1,13,14,13,300,0.877356888058434,0.903119868637
6,221,28,169.10767592739165,43.28740140707358,16,12,0,2,2,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,40,0,40,9,39,21,1,0,6,21,6,300,0.8786443148688049,0.884353741497
7,2881,17,172.91779175721612,45.4580246292711,8,9,0,1,0,0,26,16,26,0,0,0,0,15,0,15,0,0,0,0,40,0,40,8,28,12,0,0,5,12,5,266,0.8629922557258196,0.887955182073
8,3791,75,89.81076823515728,67.71851161411804,37,38,0,2,1,0,0,0,0,0,0,0,0,73,0,73,0,0,0,0,25,0,25,16,21,8,0,1,13,8,13,317,0.8595555555555556,0.87619047619
9,1355,35,199.0035735610917,52.88041960632415,10,25,0,2,8,0,31,19,31,0,0,0,0,17,0,17,0,0,0,0,53,0,53,7,39,16,1,2,16,16,16,317,0.8817298347910593,0.897959183673
10,3712,45,147.91262245135937,81.6291287873972,26,19,0,3,3,0,130,79,130,0,0,0,0,33,0,33,0,0,0,0,97,0,97,11,45,17,0,1,13,17,13,309,0.860082304526749,0.871957671958
11,240,37,135.9229773046521,76.12894961610793,20,17,0,3,2,0,135,83,135,0,0,0,0,29,0,29,0,0,0,0,80,0,80,7,28,11,0,0,12,11,12,307,0.8595255487147379,0.888030888031
12,225,65,97.29912565221726,70.84004385426402,32,33,0,1,5,0,17,10,17,0,0,0,0,59,0,59,0,0,0,0,32,0,32,9,23,15,0,0,8,15,8,290,0.8148041701887854,0.860805860806
13,172,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0.0,0.0
14,136,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0.0,0.0
15,142,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0.0,0.0
16,141,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0.0,0.0
