Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,N_BeforePacking_AddAge0s,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|6|,3177|3140|3422|3376|3376|3294|3315|,49.96445986779981|100.15175573248409|147.46567182933956|194.85381842417058|242.71080657582937|289.7009086217365|340.08079487179486|,9.984358054439388|9.896865575119701|12.509614782057042|17.7145245008379|24.45994940552457|31.760848392622552|31.410635543001|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,3185|3308|3753|3543|3356|2959|2996|,50.008767660910515|101.09867896009673|150.16447402078336|198.91368021450748|250.11841895113233|299.7716995606624|349.88293224299065|,10.004392887027791|10.24392528865499|10.89753240592386|10.385080707992158|9.595902706580457|9.76659043580513|9.808998703393023|,0|3177|3140|6798|6670|3315|0|,0|0|0|0|0|0|0|,0|0|492|6052|6646|3292|0|,0|3177|2648|746|24|23|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|3143|2892|400|35|0|,0|0|0|0|0|0|0|,50181|324|3143|2892|400|35|0|,20614|0|1901|1976|100|1|0|,29590|178|1242|916|300|34|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
1,0|1|2|3|4|5|6|,29075|1186|791|109|265|8|30|,49.976088371947505|134.45931881561046|181.34298546680154|218.25988232814922|247.32879632779216|270.2180918255228|297.2296488926482|,10.003648533562224|2.842170943040401e-14|5.684341886080802e-14|1.4210854715202004e-13|2.842170943040401e-14|0.0|6.838983435714653|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,28900|175|1186|900|273|30|0|,49.80669626964565|77.94998412351214|134.45931881561046|185.81403186445363|247.99954491380626|297.2296488926482|nan|,9.791141701307083|2.733800241915178|2.842170943040401e-14|12.04437224742189|3.860448021191506|6.838983435714653|nan|,0|29075|1186|900|273|30|0|,0|0|0|0|0|0|0|,0|17755|102|169|64|1|0|,0|11320|1084|731|209|29|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|11100|1619|273|34|0|,0|0|0|0|0|0|0|,891|6|11100|1619|273|34|0|,0|0|8435|901|55|3|0|,890|7|2665|718|218|31|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
2,0|1|2|3|4|5|6|,844|2665|433|240|65|131|26|,50.261017977292916|134.45931881561046|181.34298546680154|218.25988232814927|247.32879632779216|270.2180918255227|305.2915743416223|,9.973477055052244|2.842170943040401e-14|5.684341886080802e-14|8.526512829121202e-14|2.842170943040401e-14|5.684341886080802e-14|9.64375959355872|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,838|6|2665|673|196|26|0|,50.057625496080846|78.66816785324615|134.45931881561046|194.50800069224502|262.62725403290796|305.2915743416223|nan|,9.71277574017014|1.8783008899851772|2.842170943040401e-14|17.683152529162136|10.77627537309211|9.643759593558718|nan|,0|844|2665|673|196|26|0|,0|0|0|0|0|0|0|,0|0|377|61|30|0|0|,0|844|2288|612|166|26|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|809|2573|258|126|0|,0|0|0|0|0|0|0|,792|3|809|2573|258|126|0|,5|0|100|1758|55|41|0|,788|2|709|815|203|85|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
3,0|1|2|3|4|5|6|,735|648|691|116|156|29|71|,50.025835056672925|134.4593188156105|181.34298546680154|218.25988232814925|247.32879632779216|270.2180918255227|292.92415949066424|,9.662632544821085|0.0|5.684341886080802e-14|1.1368683772161603e-13|2.842170943040401e-14|5.684341886080802e-14|10.945149492463122|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,733|2|648|807|185|71|0|,49.94794877277667|78.57115810465032|134.4593188156105|186.64950347908945|250.91684805446343|292.92415949066424|nan|,9.559612203875083|1.4426156076308345|0.0|12.951488128311043|8.32189047270226|10.945149492463122|nan|,0|735|648|807|185|71|0|,0|0|0|0|0|0|0|,0|23|43|140|36|8|0|,0|712|605|667|149|63|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|663|1101|210|75|5|,0|0|0|0|0|0|0|,878|6|663|1101|210|75|5|,23|0|64|547|47|16|1|,856|5|599|554|163|59|4|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
4,0|1|2|3|4|5|6|,827|536|255|257|60|85|54|,49.883032749106576|134.4593188156105|181.3429854668015|218.2598823281493|247.3287963277922|270.21809182552266|299.30337136520114|,10.025909601845463|0.0|2.842170943040401e-14|5.684341886080802e-14|0.0|1.1368683772161603e-13|8.543067000020528|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,823|4|536|512|145|53|1|,49.753165284516605|76.60326358849214|134.4593188156105|199.87353721165775|260.7466592057722|298.736714576762|329.3361811524784|,9.874333153152072|1.9245805538175116|0.0|18.458307603351216|11.273259694952488|7.551268422937878|0.0|,0|827|536|512|145|53|1|,0|0|0|0|0|0|0|,0|49|23|65|28|11|1|,0|778|513|447|117|42|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|750|674|248|101|1|,0|0|0|0|0|0|0|,754|7|750|674|248|101|1|,0|0|120|180|47|30|0|,755|6|630|494|201|71|1|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
5,0|1|2|3|4|5|6|,704|572|309|136|150|29|64|,50.23073969146187|134.4593188156105|181.34298546680154|218.25988232814936|247.32879632779213|270.2180918255227|299.20276936681444|,10.114883410364047|0.0|5.684341886080802e-14|0.0|5.684341886080802e-14|5.684341886080802e-14|12.070605691158162|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,699|5|572|445|179|63|1|,50.02731881607048|78.66897807117667|134.4593188156105|192.6254528221797|251.03711794474287|298.72446124323244|329.3361811524784|,9.85818013607364|2.1373385677793775|0.0|17.00645801085126|8.433814088315193|11.548609364917608|0.0|,0|704|572|445|179|63|1|,0|0|0|0|0|0|0|,0|16|60|68|35|14|0|,0|688|512|377|144|49|1|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|641|723|208|66|1|,0|0|0|0|0|0|0|,734|8|641|723|208|66|1|,0|0|83|253|50|17|0|,742|0|558|470|158|49|1|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
6,0|1|2|3|4|5|6|,707|491|277|147|74|68|46|,49.80139293445007|134.4593188156105|181.34298546680154|218.25988232814936|247.32879632779213|270.2180918255227|303.02855441083796|,9.790523252762636|0.0|5.684341886080802e-14|0.0|5.684341886080802e-14|5.684341886080802e-14|13.587684697987301|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,707|0|491|424|142|45|1|,49.80139293445007|nan|134.4593188156105|194.14200395410842|258.28986741121247|302.3227016843911|334.7919271009448|,9.790523252762636|nan|0.0|17.569438556310505|11.43442677637338|12.876702444443486|0.0|,0|707|491|424|142|45|1|,0|0|0|0|0|0|0|,0|1|23|45|18|5|0|,0|706|468|379|124|40|1|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|680|643|188|83|10|,0|0|0|0|0|0|0|,568|1|680|643|188|83|10|,0|0|40|112|28|19|2|,568|1|640|531|160|64|8|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
7,0|1|2|3|4|5|6|,529|572|330|154|98|47|65|,50.20280245002827|134.4593188156105|181.3429854668015|218.25988232814936|247.32879632779213|270.2180918255229|299.4424143888366|,9.900412862065012|0.0|2.842170943040401e-14|0.0|5.684341886080802e-14|1.1368683772161603e-13|15.28293632528135|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,528|1|572|484|145|57|8|,50.151205790261116|77.44583880708282|134.4593188156105|193.08927083177582|254.7480852132635|295.0757158693301|330.55514134032006|,9.838470583823202|0.0|0.0|17.194801116829098|10.713377064049544|10.486271292018744|3.2250655151176293|,0|529|572|484|145|57|8|,0|0|0|0|0|0|0|,0|31|53|51|30|7|2|,0|498|519|433|115|50|6|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|473|739|197|82|5|,0|0|0|0|0|0|0|,871|6|473|739|197|82|5|,20|0|29|213|38|17|1|,852|5|444|526|159|65|4|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
8,0|1|2|3|4|5|6|,804|395|319|157|87|55|64|,49.42364668639515|134.4593188156105|181.3429854668015|218.2598823281493|247.32879632779208|270.2180918255229|302.31757549079185|,9.959068778429716|0.0|2.842170943040401e-14|5.684341886080802e-14|1.1368683772161603e-13|1.1368683772161603e-13|14.827241621876917|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,800|4|395|476|142|60|4|,49.27777610490415|78.59776298459454|134.4593188156105|193.5193569105654|256.1943685276173|300.0246417310581|336.7115818867975|,9.763277817953004|4.011206855273396|0.0|17.356549979716142|11.150261495048047|12.23298117919856|3.32493962208958|,0|804|395|476|142|60|4|,0|0|0|0|0|0|0|,0|61|29|75|20|11|1|,0|743|366|401|122|49|3|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|704|595|186|82|9|,0|0|0|0|0|0|0|,622|5|704|595|186|82|9|,0|0|63|147|40|16|2|,622|5|641|448|146|66|7|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
9,0|1|2|3|4|5|6|,573|587|222|179|86|44|67|,49.8756266038919|134.4593188156105|181.3429854668016|218.25988232814927|247.32879632779208|270.21809182552283|301.0450770047634|,9.818037916163517|0.0|1.1368683772161603e-13|8.526512829121202e-14|1.1368683772161603e-13|5.684341886080802e-14|15.43866652152268|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,568|5|587|401|130|60|7|,49.62611198864936|78.22048689544371|134.4593188156105|197.8220990283508|255.07594249625484|297.1560931292334|334.37922450930597|,9.488207546797009|3.0447995762791003|0.0|18.352017653209597|10.830902278135808|10.818397476450132|6.114847316966631|,0|573|587|401|130|60|7|,0|0|0|0|0|0|0|,0|24|52|73|16|11|1|,0|549|535|328|114|49|6|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|512|660|197|80|6|,0|0|0|0|0|0|0|,904|5|512|660|197|80|6|,32|0|44|223|30|23|2|,876|2|468|437|167|57|4|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
