Subpopulation,K,N_Initial,PopSizes_Mean,PopSizes_Std,ToTFemales,ToTMales,ToTYYMales,BreedFemales,BreedMales,BreedYYMales,Births,EggDeaths,MyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort,N_AfterEmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PackingDeaths_Immigration,N_AfterImmigration,Deaths_AfterImmiMort,N_AfterImmiMortality,SubpopEmigration,SubpopImmigration,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,Alleles,He,Ho
1,4913,64,110.40716329396682,66.22116527649445,36,28,0,3,1,0,42,25,42,0,0,0,0,55,0,55,0,0,0,0,57,0,57,12,37,23,1,0,8,23,8,402,0.9141380673363095,0.91369047619
2,5975,24,177.33208882463305,43.316803190975,15,9,0,1,2,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,19,0,19,8,18,17,0,0,7,17,7,363,0.9091848544973545,0.900793650794
3,3094,38,188.83883620131132,50.704011658759384,22,16,0,3,4,0,114,68,114,0,0,0,0,25,0,25,0,0,0,0,74,0,74,11,26,20,2,1,15,20,15,391,0.9123466561139697,0.90350877193
4,3006,48,142.2956192997588,70.87013974988388,27,21,0,1,2,0,0,0,0,0,0,0,0,47,0,47,0,0,0,0,39,0,39,21,36,21,1,2,10,21,10,399,0.9201492228835978,0.90376984127
5,192,70,85.15375225629434,69.15184246462218,33,37,0,4,3,0,70,42,70,0,0,0,0,74,0,74,0,0,0,0,55,0,55,14,26,15,0,0,4,15,4,401,0.907210884353742,0.886394557823
6,115,74,110.77545936138021,74.33948755603463,34,40,0,2,4,0,41,24,41,0,0,0,5,54,0,54,0,0,0,15,30,0,30,13,13,16,0,1,16,16,16,402,0.917814532679398,0.893822393822
7,2017,42,158.99135354129106,79.86202581838104,24,18,0,3,3,0,56,33,56,0,0,0,0,33,0,33,0,0,0,0,58,0,58,14,35,14,0,0,16,14,16,398,0.909256559766764,0.896825396825
8,2683,58,137.1666624197905,78.46829324568628,27,31,0,3,5,0,106,63,106,0,0,0,0,42,0,42,0,0,0,0,69,0,69,9,24,19,1,0,15,19,15,402,0.9180255931147728,0.905582922824
9,5161,78,106.93786001985352,73.92385744060924,33,45,0,1,4,0,0,0,0,0,0,0,0,74,0,74,0,0,0,0,48,0,48,16,47,16,1,0,15,16,15,402,0.9177193888732352,0.895604395604
10,2385,40,175.90962444788457,46.690136744112735,27,13,0,4,1,0,83,49,83,0,0,0,0,27,0,27,0,0,0,0,60,0,60,14,26,25,4,0,11,25,11,396,0.9176785714285713,0.895238095238
11,219,36,182.94765220118438,44.48866125379393,18,18,0,4,2,0,99,59,99,0,0,0,0,33,0,33,0,0,0,0,71,0,71,20,31,22,0,0,14,22,14,389,0.913120958259847,0.899470899471
12,206,48,169.27701671708232,73.5701585571479,33,15,0,6,3,0,163,97,163,0,0,0,0,25,0,25,0,0,0,0,100,0,100,9,32,19,1,0,19,19,19,398,0.9183511078042327,0.905753968254
13,83,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0.0,0.0
14,151,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0.0,0.0
15,106,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0.0,0.0
